"id","pathway","Vcmax","Jmax","Rd","TPU"
"pas_smi25_t1_ch5","C3",23.9264623587754,1e+06,-1.0772440494466,5.26187023086063
"pas_smi25_t1_ch5_27.5","C3",54.9471621486595,1e+06,1.28626084042204,8.49527987616498
"pas_smi26_t1_ch5","C3",27.2340154335714,1e+06,0.859570549312447,5.96873792081682
"pas_smi27_t2_ch5","C3",47.0839747998709,118.056639425215,-1.07330010559183,NA
"pas_smi27_t2_ch5_27.5","C3",90.2609850028181,178.8456755462,-0.484543881112191,NA
"pas_smi28_t2_ch5_redo","C3",18.4353698816613,1e+06,-1.36715286496412,3.97774790386528
"pas_smi29_t3_ch5","C3",2.40798313773056,1e+06,-2.92994410676101,NA
"pas_smi29_t3_ch5_redo","C3",45.7651172360999,98.3787042075627,5.40186216655915,NA
"pas_smi29_t3_ch5_redo_27.5","C3",54.4497547533466,118.932104597653,3.18578608335182,7.92637004365218
"pas_smi30_t3_ch5","C3",40.5749963501044,120.847656569488,4.31452866543076,8.76331004276135
"pas_smi30_t3_ch5_27.5","C3",69.5963438870185,168.215728699267,4.65498853885566,NA
"pas_smi31_t4_ch5","C3",84.5691933872841,193.632442139306,14.7236703534421,NA
"pas_smi31_t4_ch5_27.5","C3",126.082772987272,214.818667929128,13.0932228488192,NA
"pas_smi32_t4_ch5","C3",93.1770262636935,197.975732346265,14.0857790974033,13.4315810356476
"pas_smi32_t4_ch5_27.5","C3",100.418367992693,182.89556962596,8.24683378311182,NA
"ely_can25_t1_ch5","C3",7.36261565494326,1e+06,2.0028711513928,1.64162716256407
"ely_can25_t1_ch5_27.5","C3",11.9819354599351,1e+06,1.19745735599075,1.79188963055382
"ely_can26_t1_ch5","C3",16.4390916999863,43.2992262741288,1.42317205366084,NA
"ely_can26_t1_ch5_27.5","C3",29.3632783923629,55.576484290221,1.34829299321392,3.97903341557571
"ely_can27_t2_ch5","C3",18.9093330127588,49.374443195635,1.54331077244613,NA
"ely_can27_t2_ch5_27.5","C3",31.299025096299,56.6530164704182,0.959757535058162,NA
"ely_can28_t2_ch5","C3",21.8084625645606,59.3597277508922,1.92339421826283,NA
"ely_can28_t2_ch5_27.5","C3",34.4129902572765,70.743677174232,1.0515970020465,NA
"ely_can29_t3_ch5","C3",10.3563467827359,1e+06,1.31071128781913,2.20185449842486
"ely_can29_t3_ch5_27.5","C3",16.4354275648231,34.8850121269219,0.820668940369893,2.48681466799058
"ely_can30_t3_ch5","C3",16.6072669457762,44.5619500190557,2.06280854041541,NA
"ely_can30_t3_ch5_27.5","C3",29.5030696296766,57.1965912746449,1.52137331495184,4.02410055157933
"ely_can31_t4_ch5","C3",17.3896060846782,50.8667053577657,3.16921125278645,NA
"ely_can31_t4_ch5_27.5","C3",35.8577910824985,68.1591449530916,2.18215618391705,4.71628502859533
"ely_can32_t4_ch5","C3",15.1553162121824,1e+06,3.3364580750663,3.27491004116159
"ely_can32_t4_ch5_27.5","C3",21.265078088925,45.3124569973142,1.93969441849519,3.25941508901993
"poa_pra25_t1_ch5","C3",33.6269100162628,86.0915817435682,3.80380943450552,NA
"poa_pra25_t1_ch5_27.5","C3",29.1949049269066,1e+06,-5.02463442019644,3.09725553210499
"poa_pra26_t1_ch5","C3",25.5632725903941,80.4701692675069,-1.51299024745181,NA
"poa_pra26_t1_ch5_27.5","C3",33.0183652644827,1e+06,-3.41488752809775,5.06794257926637
"poa_pra27_t2_ch5_redo","C3",35.8573202182569,79.025731108776,1.3243782278593,5.44516444666257
NA,NA,NA,NA,NA,NA
"poa_pra28_t2_ch5","C3",23.1117703368324,1e+06,-2.8989154308315,4.921638168498
"poa_pra28_t2_ch5_27.5","C3",2.00908289402372,1e+06,-11.6661622482992,0.760736773472677
"poa_pra29_t3_ch5","C3",17.863249049483,1e+06,2.77873485427736,3.6030428804018
"poa_pra29_t3_ch5_27.5","C3",31.5510166653012,72.9674716396432,1.70476801896236,4.93973824743948
"poa_pra30_t3_ch5","C3",18.1064600559607,53.7607217929153,1.09352720729317,3.95749075420902
"poa_pra30_t3_ch5_27.5","C3",32.8778941935999,72.1398843535815,0.414931987094425,NA
"poa_pra31_t4_ch5","C3",33.9770456501681,83.2681642745658,4.93668824540826,NA
"poa_pra31_t4_ch5_27.5","C3",52.9920726428384,101.951802248275,2.49876954121175,6.88179682440392
"poa_pra32_t4_ch5","C3",8.70492829473965,48.5662477032067,-11.5684805597704,NA
"poa_pra32_t4_ch5_27.5","C3",9.06861361143066,45.3629564634703,-11.131481300531,NA
"ely_can5_t3_ch2","C3",35.1485770334106,76.6657875616089,6.31489015584557,5.33953679340995
"ely_can5_t3_ch2_27.5","C3",51.0540843647132,73.9763523542141,6.08674185040918,3.68098314189169
"pas_smi7_t4_ch2","C3",42.6380829988033,83.8435643294473,7.05419067331562,5.87540407570778
"pas_smi7_t4_ch2_27.5","C3",36.217663658111,56.4850166259283,3.60704680855226,3.34544958883493
"pas_smi1_t1_ch2","C3",81.0049867261415,175.928730217247,10.6252294642696,11.1778857959408
"pas_smi1_t1_ch2_27.5","C3",132.416614948419,220.183865127966,10.2406919521837,14.2252924814234
"pas_smi4_t2_ch2","C3",64.5064807767418,148.297692067687,7.53329493772244,9.70484271548204
"pas_smi4_t2_ch2_27.5","C3",103.614195711661,180.092031867574,6.08038177803036,12.0593165713008
"pas_smi6_t3_ch2","C3",49.6327591841483,112.609302734506,5.48279738455629,8.19443165254212
"pas_smi6_t3_ch2_27.5","C3",76.7898763022645,137.134565115953,3.47505732995342,9.49435225299034
"pas_smi8_t4_ch2","C3",63.8078923716222,122.222298286279,6.02295655558008,7.84667666991001
"pas_smi8_t4_ch2_27.5","C3",104.992751241311,154.366112679317,4.94992801836808,10.067931434963
"ely_can1_t1_ch2","C3",27.7031968873095,63.774502242951,1.48639795893226,NA
"ely_can1_t1_ch2_27.5","C3",54.8839174716756,91.24169729809,1.69152420435052,6.10974864587298
"ely_can2_t1_ch2","C3",31.7096384503339,1e+06,2.88880016969852,4.23851915584344
"ely_can2_t1_ch2_27.5","C3",0.0264561249181693,3.77783854014326,-5.74261523955445,NA
"ely_can3_t2_ch2","C3",26.476933148506,63.9713672256219,2.22297469084064,NA
