,ID,focal.area
162,sor_nut21_t3_ch4,110.654
163,sor_nut22_t3_ch4,108.969
164,sor_nut23_t4,108.292
165,sor_nut24_t4_ch4,115.865
166,sor_nut25_t1_ch5,16.238
167,sor_nut26_t1_ch5,29.962
168,sor_nut27_t2_ch5,8.579
169,sor_nut28_t2_ch5,8.188
170,sor_nut29_t3_ch5,21.393
171,sor_nut3_t2_ch2,39.869
172,sor_nut30_t3_ch5,25.682
173,sor_nut31_t4_ch5,19.368
174,sor_nut32_t4_ch5,24.107
175,sor_nut4_t2_ch2,27.686
176,sor_nut5_t3_ch2,24.612
177,sor_nut6_t3_ch2,19.688
178,sor_nut7_t4_ch2,19.264
179,sor_nut8_t4_ch2,48.973
180,sor_nut9_t1_ch3,82.841
