"obs","time..2","elapsed","date","hhmmss..5","averaging","id","machine","TIME..9","E","Emm","A","Ca","Ci","Pci","Pca","gsw","gbw","gtw","gtc","Rabs","TleafEB","TleafCnd","SVPleaf","RHcham","VPcham","SVPcham","VPDleaf","LatHFlux","SenHFlux","NetTherm","EBSum","Asty","Esty","Adyn","Crd","Csd","dCsd/dt","αVc","Edyn","Hr","Hs","dHs/dt","αVh","Leak","LeakPct","CorrFact","CorrFactPct","Fan","Qin","Qabs","alpha","convert","S","K","Geometry","Custom","UseDynamic","TIME..59","CO2_s","CO2_r","H2O_s","H2O_r","CO2_a","H2O_a","Flow","Pa","ΔPcham","Tair","Tleaf","Tleaf2","Offset","Offset2","Fan_speed","Qamb_in","Qamb_out","ΔCO2","CO2_s_d","CO2_r_d","ΔH2O","CO2_b","H2O_b","e_s","e_r","Td_s","Td_r","Q","f_red","f_blue","f_farred","F","Q_modavg","F_dc","Pc","Tled","TDigital","TPreamp","TPwrSpy","TDrive","Q_red","Q_blue","Q_farred","TSPF","state","time..105","hhmmss..106","co2_t","h2o_t","count","co2_adj","h2o_adj","co2_match","h2o_match","co2_at","h2o_at","co2_cv","h2o_cv","ΔCO2:MN","ΔCO2:SLP","ΔCO2:SD","ΔCO2:OK","ΔH2O:MN","ΔH2O:SLP","ΔH2O:SD","ΔH2O:OK","Stable","Total","State","Vflow","VPchamber","abs_c_a","abs_c_b","abs_h_a","abs_h_b","Wc_s","Wc_r","Wco_s","Wco_r","Ww_s","Ww_r","Wwo_s","Wwo_r","Flow_s_v","Flow_r_v","Tleaf_mv","Tleaf2_mv","Tleaf_j","Tleaf2_j","Console_RH","Console_T","Console_H2O","Fan_%","Flow_%","Pump","Tchp_pwm","Txchg_pwm","diag_20v","diag_5_4v","diag_12v","diag_5va","diag_3_3vf","AccCO2_soda","AccH2O_hum","AccH2O_des","CO2_hrs","ADC_CH1","ADC_CH2","ADC_CH3","ADC_CH4","ADC_CH5","ADC_CH6","ADC_CH7","ADC_CH8","DAC_1","DAC_2","DAC_3","DAC_4","GPIO","GPIO_dir","excit_5v","power_12v","power_5v","ch1_pullup","AuxPower","MatchValveR","MatchValveS","MatchCO2","MatchH2O","cf_co2_a","cf_co2_b","cf_co2_c","cf_co2_d","cf_h2o_a","cf_h2o_b","cf_h2o_c","cf_h2o_d","co2_fit_low","co2_fit_high","h2o_fit_low","h2o_fit_high","co2_elapsed","h2o_elapsed","CO2_f","CO2_f_s","Pump_f","Pump_f_s","Pump_p","Pump_p_s","Tboard","V_system","DIAG","Flow_s","Flow_r","Txchg","Tirga","Tchopper","Ts","Tr","CO2_%","Desiccant_%","Humidifier_%","Txchg_sp","CO2_r_sp","H2O_r_sp","SS_s","SS_r","chamber"
298,1678473734,6089.90000009537,2023-03-10 12:42:14,12:42:14,5,"pas_smi16_t4_ch3","gibson",1678473726.5,0.00176684013649727,1.76684013649727,9.9046868800131,333.211884344993,210.273012436821,19.0296926673332,30.1556518295157,0.137433400111448,3.87150754329097,0.134779476820231,0.0844713489186485,321.516756333333,28.1426010913768,27.5105407407407,3.68789690723435,70.8775356487385,2.54235919603514,3.58697459324037,1.14553771119921,-77.9176500195297,-98.8083863266275,-5.52303342511888,139.267686562057,-45.6113018998733,1.77768228360322,9.9046868800131,307.771774825364,319.5556,-3.32731223576915,67.3419755409334,1.76684013649727,27.3412706209821,28.0894648484849,-3.11655433537102e-06,121.908525375649,5,1,1,0,47563,2000.00111111111,1681.20123333333,0.840600149666584,0.160758288856506,2.18,0.5,"0: Broadleaf",2,TRUE,1678473726.5,333.211888888889,313.597703703704,28.0923888888889,27.3396333333333,332.84937037037,27.7045814814815,500.358925925926,90.3998481481482,0.100080714814815,27.0371407407407,27.5105407407407,999.9,0,0,9990.78444444445,0,4.26989185185185,19.6141074074074,342.843148148148,322.412259259259,0.752747444444444,313.597703703704,27.3396333333333,2.53954703703704,2.47149888888889,21.2822,20.8400259259259,2000.00111111111,0.979996111111111,0.0200042518518518,0,2.52179259259259,0,6943.45407407407,16705.4,44.187,46.125,45.25,44.2406666666667,43.687,1959.99111111111,40.01,0,1678473743.2,0,0,"--:--:--",1678311632,1678311637,0,0.412,0.049,0.78,0.502,420,30,0.45,0.21,19.114225,7.5427384615384,0.740426988888844,0,0.755533725,-0.0417563864915568,0.00468897947312364,1,1,2,"1/2",2.86232,2.70992,0.0716763,0.0678623,0.114385,0.112125,26380.9,22843.2,25427.5,23864.1,38426.8,35049.7,45974.6,42545.1,1.77782,1.88765,0.126157,0,25.438,999.9,57.783,29.85,27.0015,54.4312,45.1162,1,-0.015188,0.722135,20.2426,5.23032,11.9861,4.9562,3.304,9999,9999,9999,999.9,1.86819,1.86386,1.87149,1.86226,1.86172,1.86813,1.85833,1.86478,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,0.353,0.3878,0.194837266885601,0.00062718723439409,-4.01537248521887e-07,9.27123944784829e-11,0.387814043947855,0,0,0,1,1476,2,27,2701.7,2701.6,0.759277,2.39258,1.44775,2.30347,1.44409,2.23022,35.0364,14.6224,18,422.429,475.359,24.5476,27.1928,30,27.1893,27.1595,15.2475,0,100,24.542,265.199,28.737,97.2984,100.047,3
299,1678473739,6094.90000009537,2023-03-10 12:42:19,12:42:19,5,"pas_smi16_t4_ch3","gibson",1678473731.21429,0.00175632943065596,1.75632943065596,8.99932263404067,317.958245909947,205.3336007334,18.5827483707809,28.7753103001925,0.136629919216392,3.87167761677427,0.134006730287531,0.0839856947363009,321.510993,28.1411472034231,27.5087678571429,3.68751437823287,70.8880808786179,2.54221686333143,3.58624021390068,1.14529751490144,-77.4541278919279,-99.1705495897278,-5.54288792218665,139.343427596158,-46.5960702902375,1.76821519301784,8.99932263404067,290.502663903756,302.801078787879,-3.34956054429807,67.3419755409334,1.75632943065596,27.3444717680623,28.0882206060606,-1.38455576160085e-06,121.908525375649,5,1,1,0,48008,1999.965,1681.1709,0.840600160502809,0.160758309770421,2.18,0.5,"0: Broadleaf",2,TRUE,1678473731.21429,317.95825,297.901357142857,28.0907071428571,27.3419392857143,317.601785714286,27.7029,500.345678571429,90.4003,0.0999800535714286,27.0336535714286,27.5087678571429,999.9,0,0,9991.34,0,3.94182642857143,20.0568,327.148,306.275428571429,0.748762892857143,297.901357142857,27.3419392857143,2.53940785714286,2.47171892857143,21.2813107142857,20.8414714285714,1999.965,0.979995857142857,0.0200045142857143,0,2.55258928571429,0,6948.75285714286,16705.0964285714,44.1825714285714,46.125,45.25,44.23425,43.687,1959.955,40.01,0,1678473748,0,0,"--:--:--",1678311632,1678311637,0,0.412,0.049,0.78,0.502,420,30,0.45,0.21,19.718165,5.92222288930576,0.572485213586342,0,0.75201515,-0.0491265590994378,0.00523928715356392,1,1,2,"1/2",2.86228,2.71019,0.0685655,0.0645957,0.11438,0.112132,26469.4,22923.4,25427.5,23864.3,38426.9,35049.6,45974.5,42545.4,1.77735,1.8882,0.1266,0,25.4375,999.9,57.783,29.85,27.0002,53.3612,45.2324,1,-0.0152795,0.699259,20.2426,5.22987,11.9867,4.9562,3.30395,9999,9999,9999,999.9,1.86817,1.86386,1.87149,1.86231,1.86172,1.86814,1.85834,1.86478,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,0.346,0.3878,0.194837266885601,0.00062718723439409,-4.01537248521887e-07,9.27123944784829e-11,0.387814043947855,0,0,0,1,1476,2,27,2701.8,2701.7,0.726318,2.3877,1.44775,2.30347,1.44409,2.23755,35.0364,14.6224,18,422.147,475.692,24.5388,27.191,29.9999,27.187,27.1573,14.5785,0,100,24.5312,251.809,28.737,97.2984,100.048,3
300,1678473744,6099.90000009537,2023-03-10 12:42:24,12:42:24,5,"pas_smi16_t4_ch3","gibson",1678473736.5,0.00175203955621533,1.75203955621533,8.47865096421365,300.793366484528,194.462499905089,17.5988072678305,27.2217239148255,0.13635504128077,3.86914797594534,0.133740614940185,0.083818604936661,321.512086555556,28.1383681871694,27.5060777777778,3.68693401518344,70.9046210386419,2.54216339979678,3.58532823750844,1.14477061538666,-77.2649444290961,-99.4481126853508,-5.56184061880799,139.237188822301,-47.6453159084493,1.76039480914923,8.47865096421365,273.383942744048,285.990696969697,-3.36498558596689,67.3419755409334,1.75203955621533,27.3483556366834,28.0902490909091,1.46827971033369e-06,121.908525375649,5,1,1,0,47650,1999.97185185185,1681.17665555556,0.840600158446674,0.160758305802082,2.18,0.5,"0: Broadleaf",2,TRUE,1678473736.5,300.79337037037,280.265407407407,28.0902814814815,27.344837037037,300.443777777778,27.7024740740741,500.353814814815,90.3996740740741,0.100074085185185,27.0293222222222,27.5060777777778,999.9,0,0,9982.40444444444,0,3.83166148148148,20.5278407407407,309.486851851852,288.144592592593,0.745442111111111,280.265407407407,27.344837037037,2.53935148148148,2.47196444444444,21.2809444444444,20.8430740740741,1999.97185185185,0.979996,0.0200043666666667,0,2.54248148148148,0,6955.20592592593,16705.162962963,44.1778148148148,46.125,45.25,44.229,43.687,1959.96185185185,40.01,0,1678473752.8,0,0,"--:--:--",1678311632,1678311637,0,0.412,0.049,0.78,0.502,420,30,0.45,0.21,20.1875175,5.43140375234516,0.524100193134624,0,0.747736475,-0.0376814971857449,0.00404099729019644,1,1,2,"1/2",2.8627,2.71023,0.0653724,0.0612352,0.114387,0.112144,26560.2,23005.7,25427.6,23864.2,38426.6,35049.3,45974.7,42545.7,1.77775,1.88797,0.125811,0,25.4359,999.9,57.783,29.85,27.0001,54.4512,45.1923,1,-0.0157622,0.715444,20.2427,5.23032,11.9863,4.95605,3.30393,9999,9999,9999,999.9,1.86817,1.86386,1.87149,1.86232,1.86172,1.86814,1.85833,1.86478,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,0.339,0.3878,0.194837266885601,0.00062718723439409,-4.01537248521887e-07,9.27123944784829e-11,0.387814043947855,0,0,0,1,1476,2,27,2701.9,2701.8,0.688477,2.37793,1.44775,2.30347,1.44409,2.38892,35.0594,14.6224,18,422.355,475.528,24.5313,27.1893,30,27.1847,27.155,13.8264,0,100,24.5299,231.724,28.737,97.2987,100.048,3
301,1678473749,6104.90000009537,2023-03-10 12:42:29,12:42:29,5,"pas_smi16_t4_ch3","gibson",1678473741.21429,0.00175207602166007,1.75207602166008,7.24448104434451,285.418282415398,194.04699422713,17.5611332865971,25.8301785085195,0.136459203693639,3.87353220656319,0.133843725185808,0.0838831432010015,321.511449,28.1334917856626,27.5023571428571,3.68613144940518,70.9214879832254,2.54221881949407,3.58455369703377,1.14391262991111,-77.2665525552095,-99.5521815120893,-5.56115357912289,139.131561353578,-48.4447853484837,1.75470976014823,7.24448104434451,256.205717941649,269.247424242424,-3.34068869647583,67.3419755409334,1.75207602166008,27.3508652349037,28.0927921212121,1.94493063017753e-06,121.908525375649,4,1,1,0,47883,1999.96785714286,1681.1733,0.840600159645423,0.160758308115666,2.18,0.5,"0: Broadleaf",2,TRUE,1678473741.21429,285.418285714286,264.528821428571,28.0910071428571,27.3479464285714,285.075178571429,27.7031928571429,500.337535714286,90.3994178571429,0.0999653285714286,27.0256428571429,27.5023571428571,999.9,0,0,9998.04107142857,0,3.850315,20.8893964285714,293.667642857143,271.966464285714,0.743070571428571,264.528821428571,27.3479464285714,2.53940964285714,2.4722375,21.281325,20.8448714285714,1999.96785714286,0.979995964285714,0.0200044035714286,0,2.54802142857143,0,6961.22285714286,16705.1214285714,44.1781428571428,46.125,45.25,44.2275,43.687,1959.95785714286,40.01,0,1678473758.2,0,0,"--:--:--",1678311632,1678311637,0,0.412,0.049,0.78,0.502,420,30,0.45,0.21,20.6076225,4.95879737335832,0.481638012145792,0,0.745369475,-0.0386017373358367,0.0040959928588042,1,1,2,"1/2",2.86244,2.71043,0.0621269,0.0578751,0.114393,0.112155,26652.8,23088.1,25428,23864.3,38426.2,35048.9,45974.7,42545.8,1.7782,1.8882,0.125449,0,25.4349,999.9,57.783,29.85,26.9984,54.2212,45.0641,1,-0.0157901,0.690749,20.2428,5.22972,11.9867,4.95615,3.30398,9999,9999,9999,999.9,1.86819,1.86386,1.87149,1.86233,1.86172,1.86814,1.85832,1.86478,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,0.332,0.3878,0.194837266885601,0.00062718723439409,-4.01537248521887e-07,9.27123944784829e-11,0.387814043947855,0,0,0,1,1476,2,27,2701.9,2701.9,0.655518,2.37061,1.44775,2.30347,1.44409,2.48657,35.0594,14.6224,18,422.596,475.658,24.5269,27.1876,30,27.183,27.1532,13.1654,0,100,24.5823,218.081,28.737,97.2993,100.049,3
302,1678473754,6109.90000009537,2023-03-10 12:42:34,12:42:34,5,"pas_smi16_t4_ch3","gibson",1678473746.5,0.0017541564049612,1.7541564049612,7.09002020350592,268.200478226659,179.242930717145,16.221349552961,24.2719402666507,0.136837236073064,3.87645712730962,0.134209339926632,0.0841127399958265,321.514155444444,28.1304546145098,27.4948740740741,3.68451776319491,70.9330753043654,2.5423590354625,3.58416581341432,1.14215872773241,-77.3582974587891,-98.4486197407312,-5.49510108200166,140.212137162922,-48.8582377426864,1.75060732029357,7.09002020350592,239.456588148623,252.557666666667,-3.33876942577916,67.3419755409334,1.7541564049612,27.3542238759838,28.0970048484848,1.25878426145176e-06,121.908525375649,4,1,1,0,47447,1999.98481481481,1681.18754444444,0.840600154556729,0.160758298294487,2.18,0.5,"0: Broadleaf",2,TRUE,1678473746.5,268.200481481481,247.118074074074,28.0926,27.3513074074074,267.864703703704,27.7047851851852,500.357555555556,90.3992666666667,0.0999763888888889,27.0238,27.4948740740741,999.9,0,0,10008.4755555556,0,4.1869437037037,21.0823703703704,275.952555555556,254.067,0.741310444444444,247.118074074074,27.3513074074074,2.53955037037037,2.47253740740741,21.2822185185185,20.8468444444444,1999.98481481481,0.979996111111111,0.0200042518518519,0,2.51499259259259,0,6968.22481481481,16705.2666666667,44.1778148148148,46.125,45.25,44.2173333333333,43.6778148148148,1959.97481481481,40.01,0,1678473763,0,0,"--:--:--",1678311632,1678311637,0,0.412,0.049,0.78,0.502,420,30,0.45,0.21,20.927585,3.07003677298303,0.329164021841695,0,0.7424874,-0.0218811106941842,0.00237944508026556,1,1,2,"1/2",2.86241,2.7102,0.0588245,0.0546597,0.114408,0.112157,26746.4,23166.8,25427.7,23864.2,38425.7,35048.7,45975,42545.9,1.7788,1.8876,0.125855,0,25.4338,999.9,57.807,29.85,27.011,54.7712,44.9479,1,-0.0158206,0.480564,20.2437,5.23032,11.9864,4.95615,3.30398,9999,9999,9999,999.9,1.86817,1.86386,1.87149,1.86232,1.86172,1.86814,1.85834,1.86478,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,0.326,0.3878,0.194837266885601,0.00062718723439409,-4.01537248521887e-07,9.27123944784829e-11,0.387814043947855,0,0,0,1,1476,2,27,2702,2701.9,0.617676,2.37549,1.44775,2.30347,1.44409,2.55005,35.0364,14.6224,18,422.916,475.253,24.5593,27.1859,30,27.1807,27.1509,12.4053,0,100,24.5899,197.814,28.737,97.2993,100.049,3
303,1678473759,6114.90000009537,2023-03-10 12:42:39,12:42:39,5,"pas_smi16_t4_ch3","gibson",1678473751.21429,0.00176936381886178,1.76936381886179,6.37896732653078,252.992568511126,173.427573586954,15.6949224309022,22.8954292345328,0.138166267266676,3.87178503550554,0.135484450135125,0.084914396318391,321.515895,28.1263783615897,27.4920607142857,3.68391123576117,70.9522639694338,2.54270227706216,3.58368025882523,1.141208958699,-78.0289444118047,-98.2242992159859,-5.48905561601776,139.773595756192,-48.9310326472043,1.7540565472873,6.37896732653078,223.686130914204,236.479751515152,-3.21041449288667,67.3419755409334,1.76936381886179,27.3567172394211,28.1058945454546,4.14438373372769e-06,121.908525375649,4,1,1,0,47704,1999.99571428571,1681.1967,0.840600151286038,0.160758291982054,2.18,0.5,"0: Broadleaf",2,TRUE,1678473751.21429,252.992571428571,231.867535714286,28.0966464285714,27.3539071428571,252.663464285714,27.7088321428571,500.364821428571,90.3984285714286,0.0999974071428571,27.0214928571429,27.4920607142857,999.9,0,0,9991.92928571429,0,4.29535035714286,21.1249857142857,260.306107142857,238.388357142857,0.742758857142857,231.867535714286,27.3539071428571,2.53989321428571,2.47274964285714,21.2844214285714,20.8482392857143,1999.99571428571,0.979996178571428,0.0200041821428571,0,2.48041071428571,0,6974.52285714286,16705.3428571429,44.1781428571428,46.125,45.25,44.21625,43.6781428571428,1959.98571428571,40.01,0,1678473767.8,0,0,"--:--:--",1678311632,1678311637,0,0.412,0.049,0.78,0.502,420,30,0.45,0.21,21.0061325,0.0325136960599696,0.294859243866883,1,0.7422016,0.007185140712946,0.00214884902680481,1,2,2,"2/2",2.86237,2.71003,0.0555433,0.0509482,0.114428,0.112162,26839.4,23257.6,25427.6,23864.1,38424.5,35048.6,45974.7,42546.1,1.77883,1.88743,0.125967,0,25.4327,999.9,57.807,29.85,27.0111,54.6612,44.7075,1,-0.0158613,0.551931,20.2433,5.23032,11.986,4.95595,3.30395,9999,9999,9999,999.9,1.8682,1.86386,1.87149,1.86227,1.86172,1.86813,1.85834,1.86478,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,0.318,0.3878,0.194837266885601,0.00062718723439409,-4.01537248521887e-07,9.27123944784829e-11,0.387814043947855,0,0,0,1,1476,2,27,2702.1,2702,0.583496,2.37305,1.44775,2.30347,1.44409,2.54028,35.0594,14.6224,18,422.913,475.122,24.5904,27.1836,29.9999,27.1784,27.1486,11.7261,0,100,24.5947,184.401,28.737,97.2987,100.049,3
304,1678473764,6119.90000009537,2023-03-10 12:42:44,12:42:44,5,"pas_smi16_t4_ch3","gibson",1678473756.5,0.00179235378404249,1.7923537840425,5.44053839298958,236.033219742147,168.627758756783,15.2602736822214,21.3602526530418,0.140117830794644,3.87222126005776,0.137360837399466,0.0860937100079041,321.517465666667,28.120567812662,27.49,3.68346702517346,70.9719515204075,2.54324348871678,3.5834487205632,1.14022353645668,-79.0428018762742,-98.0348631963093,-5.47776569552952,138.962034898554,-49.479237278267,1.76385247082056,5.44053839298958,205.83158594206,219.727381818182,-3.35023854139334,67.3419755409334,1.7923537840425,27.3576860750926,28.1166054545455,4.83692366366925e-06,121.908525375649,4,1,1,0,47853,2000.00555555556,1681.20496666667,0.840600148332921,0.160758286282538,2.18,0.5,"0: Broadleaf",2,TRUE,1678473756.5,236.033222222222,214.656777777778,28.1031296296296,27.3562259259259,235.711666666667,27.7153222222222,500.350481481481,90.3968592592593,0.0999474037037037,27.0203925925926,27.49,999.9,0,0,9993.65592592593,0,4.43032666666667,21.3764,242.858148148148,220.694148148148,0.746920851851852,214.656777777778,27.3562259259259,2.54043592592593,2.47291666666667,21.2878962962963,20.8493407407407,2000.00555555556,0.979996111111111,0.0200042518518519,0,2.50444444444444,0,6982.20518518519,16705.4296296296,44.1709259259259,46.125,45.25,44.2126666666667,43.6686296296296,1959.99555555556,40.01,0,1678473773.2,0,0,"--:--:--",1678311632,1678311637,0,0.412,0.049,0.78,0.502,420,30,0.45,0.21,21.329235,2.62057260787991,0.504780385687677,0,0.745357375,0.0501633658536583,0.00554696277113655,1,1,2,"1/2",2.86242,2.71026,0.0520754,0.0474669,0.114458,0.112163,26938.1,23343.1,25427.7,23864.2,38423,35048.7,45974.6,42546.3,1.77897,1.88705,0.125416,0,25.4311,999.9,57.807,29.85,27.0118,54.2812,44.5353,1,-0.0164278,0.581811,20.2431,5.23032,11.9861,4.95585,3.30393,9999,9999,9999,999.9,1.86818,1.86386,1.87149,1.86226,1.86172,1.86813,1.85835,1.86478,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,0.31,0.3878,0.194837266885601,0.00062718723439409,-4.01537248521887e-07,9.27123944784829e-11,0.387814043947855,0,0,0,1,1476,2,27,2702.2,2702.1,0.545654,2.37183,1.44775,2.30347,1.44409,2.5354,35.0594,14.6224,18,422.986,474.866,24.5992,27.1819,29.9999,27.1767,27.1469,10.9784,0,100,24.6031,164.252,28.737,97.2987,100.049,3
305,1678473769,6124.90000009537,2023-03-10 12:42:49,12:42:49,5,"pas_smi16_t4_ch3","gibson",1678473761.21429,0.0017928470883162,1.79284708831621,5.07646990437916,220.9569619725,158.091084416677,14.3065315734322,19.9956105335928,0.140219680299668,3.87362504097298,0.137459699305138,0.0861557606146524,321.516693,28.1178930922968,27.4905321428571,3.68358173018951,70.9990556952174,2.54388665286911,3.58298660166613,1.1396950773204,-79.0645565947446,-98.6401690049088,-5.50954444393539,138.302422956411,-50.0460550681188,1.77703903331928,5.07646990437916,189.591809346508,203.311260606061,-3.28058298642096,67.3419755409334,1.79284708831621,27.3607726850794,28.1199478787879,9.02997287524822e-07,121.908525375649,4,1,1,0,47847,2000.00071428571,1681.2009,0.840600149785661,0.160758289086325,2.18,0.5,"0: Broadleaf",2,TRUE,1678473761.21429,220.956964285714,199.322821428571,28.1106428571429,27.3581464285714,220.64225,27.7228321428571,500.340714285714,90.3955678571428,0.0999311535714286,27.0181964285714,27.4905321428571,999.9,0,0,9998.7975,0,4.6447525,21.6341,227.347714285714,204.929357142857,0.752502035714286,199.322821428571,27.3581464285714,2.54107785714286,2.47305535714286,21.2920214285714,20.85025,2000.00071428571,0.979996071428571,0.0200042928571428,0,2.56033571428571,0,6989.20178571429,16705.3857142857,44.1737142857143,46.125,45.25,44.21625,43.6648571428571,1959.99071428571,40.01,0,1678473778,0,0,"--:--:--",1678311632,1678311637,0,0.412,0.049,0.78,0.502,420,30,0.45,0.21,21.45274,3.6283204502814,0.543187033074244,0,0.748577675,0.0720336247654786,0.00711447350612643,1,1,2,"1/2",2.86243,2.71051,0.0485884,0.0436924,0.114474,0.112172,27037.3,23436.5,25427.9,23865.2,38422.4,35048.8,45974.9,42546.9,1.7788,1.88685,0.126012,0,25.429,999.9,57.807,29.85,27.0104,54.5912,44.363,1,-0.0163237,0.58469,20.2433,5.23107,11.9861,4.95585,3.30398,9999,9999,9999,999.9,1.86817,1.86386,1.87149,1.8623,1.86172,1.86814,1.85833,1.86478,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,0.303,0.3878,0.194837266885601,0.00062718723439409,-4.01537248521887e-07,9.27123944784829e-11,0.387814043947855,0,0,0,1,1476,2,27,2702.3,2702.2,0.510254,2.37305,1.44775,2.30347,1.44409,2.48779,35.0594,14.6224,18,422.867,474.719,24.6058,27.1801,30,27.1738,27.1446,10.2604,0,100,24.6101,150.772,28.737,97.2993,100.052,3
306,1678473773.5,6129.40000009537,2023-03-10 12:42:53,12:42:53,5,"pas_smi16_t4_ch3","gibson",1678473765.66071,0.00181176456273698,1.81176456273698,4.38723089802604,206.679283710229,152.57988316084,13.8076949414911,18.7034125408818,0.141800209675445,3.87659265629806,0.138980446711281,0.0871114534330457,321.516522,28.1148520399312,27.4905607142857,3.68358788893627,71.0092456519935,2.54448175127129,3.58331049415938,1.13910613766497,-79.898817216701,-98.4000065067918,-5.49196576138334,137.725732515124,-51.177697608254,1.78967913758718,4.38723089802604,173.915767543723,188.266963636364,-3.34693638106546,67.3419755409334,1.81176456273698,27.3612089119083,28.1283478787879,3.72946795826763e-06,121.908525375649,4,1,1,0,47679,1999.99964285714,1681.2,0.84060015010717,0.160758289706837,2.18,0.5,"0: Broadleaf",2,TRUE,1678473765.66071,206.679285714286,184.542607142857,28.1174178571429,27.3595892857143,206.371285714286,27.7296107142857,500.350678571429,90.3949071428572,0.0999513892857143,27.0197357142857,27.4905607142857,999.9,0,0,10009.4410714286,0,4.66561714285714,22.1366785714286,212.658607142857,189.733607142857,0.757824714285714,184.542607142857,27.3595892857143,2.54167142857143,2.47316785714286,21.2958321428571,20.8509928571429,1999.99964285714,0.979996071428571,0.0200042928571428,0,2.60087142857143,0,6996.18535714286,16705.3785714286,44.1737142857143,46.125,45.25,44.2095,43.6604285714286,1959.98964285714,40.01,0,1678473782.8,0,0,"--:--:--",1678311632,1678311637,0,0.412,0.049,0.78,0.502,420,30,0.45,0.21,21.7200268292683,5.97277839721257,0.682853246392999,0,0.753269048780488,0.0715998188153321,0.00720108881994538,1,1,2,"1/2",2.86255,2.71022,0.0453177,0.0403212,0.114493,0.112172,27130.5,23518.6,25428.1,23864.7,38421.6,35048.1,45974.9,42546.2,1.77852,1.88705,0.12663,0,25.4273,999.9,57.807,29.85,27.0123,54.3412,44.6314,1,-0.0164253,0.581819,20.2432,5.23152,11.9863,4.9557,3.30395,9999,9999,9999,999.9,1.86819,1.86386,1.87149,1.8623,1.86172,1.86813,1.85834,1.86478,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,0.296,0.3878,0.194837266885601,0.00062718723439409,-4.01537248521887e-07,9.27123944784829e-11,0.387814043947855,0,0,0,1,1476,2,27,2702.4,2702.3,0.478516,2.41577,1.44775,2.30347,1.44409,2.24976,35.0594,14.6136,18,422.698,474.83,24.6109,27.1787,30,27.1718,27.1426,9.61079,0,100,24.6101,130.392,28.737,97.2996,100.05,3
307,1678473779,6134.90000009537,2023-03-10 12:42:59,12:42:59,5,"pas_smi16_t4_ch3","gibson",1678473771.23214,0.00181518245575447,1.81518245575448,3.84400769772569,188.691855384141,141.198115713162,12.7776143655759,17.0755236346176,0.142016142276348,3.87504261756876,0.139186770201527,0.087241244222133,321.51846,28.1145530746227,27.4954857142857,3.68464963719592,71.0268176706682,2.54510553967552,3.58330222744382,1.13954409752041,-80.0495462987724,-99.3977570619716,-5.55000749617277,136.521149143083,-51.8440633484866,1.80419321317299,3.84400769772569,155.48903540093,169.957987878788,-3.32126126677689,67.3419755409334,1.81518245575448,27.3602190375667,28.1288357575758,-1.51527185523596e-06,121.908525375649,5,1,1,0,47629,2000.01178571429,1681.2102,0.840600146463423,0.160758282674406,2.18,0.5,"0: Broadleaf",2,TRUE,1678473771.23214,188.691857142857,166.252464285714,28.1245071428571,27.3605535714286,188.392464285714,27.7367,500.360714285714,90.3942178571429,0.100009357142857,27.0196964285714,27.4954857142857,999.9,0,0,10003.9957142857,0,4.57485035714286,22.4394071428571,194.152107142857,170.929,0.763941928571429,166.252464285714,27.3605535714286,2.54229214285714,2.47323642857143,21.2998142857143,20.8514357142857,2000.01178571429,0.979996285714285,0.0200040714285714,0,2.66765357142857,0,7004.93071428571,16705.4892857143,44.1626428571428,46.125,45.25,44.22075,43.6515714285714,1960.00178571429,40.01,0,1678473788.2,0,0,"--:--:--",1678311632,1678311637,0,0.412,0.049,0.78,0.502,420,30,0.45,0.21,22.3255625,3.86313208255155,0.452050585492099,0,0.76131705,0.0639010806754214,0.00635250142050357,1,1,2,"1/2",2.86266,2.71009,0.0412513,0.0358781,0.114492,0.11217,27245.8,23627.7,25427.8,23865,38421.1,35048.3,45974.5,42546.5,1.77807,1.88735,0.126764,0,25.4268,999.9,57.807,29.85,27.0113,54.2212,43.9583,1,-0.016499,0.592209,20.2431,5.23197,11.9861,4.95595,3.304,9999,9999,9999,999.9,1.86818,1.86386,1.87149,1.8623,1.86172,1.86813,1.85834,1.86478,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,0.287,0.3878,0.194837266885601,0.00062718723439409,-4.01537248521887e-07,9.27123944784829e-11,0.387814043947855,0,0,0,1,1476,2,27,2702.4,2702.4,0.43457,2.38403,1.44775,2.30347,1.44409,2.49878,35.0594,14.6224,18,422.427,475,24.6154,27.1767,29.9999,27.1693,27.14,8.75053,0,100,24.5988,116.938,28.737,97.2988,100.051,3
