flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00438_20230309123255,12:32:55,2023-03-09,PFA-00474,PSA-00486,PSF-00438,0.000000,0.000000,0.000000,413.921570,162.442810,0.607552,491.946411

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,275.797974,6995.495117,1
0.010000,360.314728,6995.495117,1
0.020000,385.230316,6995.495117,1
0.030000,391.883240,6995.495117,1
0.040000,394.088043,6995.495117,1
0.050000,395.198822,6995.495117,1
0.060000,395.882965,6995.495117,1
0.070000,396.354675,6995.495117,1
0.080000,396.701935,6995.495117,1
0.090000,396.984100,6995.495117,1
0.100000,397.200104,6995.495117,1
0.110000,397.341003,6995.495117,1
0.120000,397.464752,6995.495117,1
0.130000,397.594574,6995.495117,1
0.140000,397.708282,6995.495117,1
0.150000,397.840271,6995.495117,1
0.160000,397.905334,6995.495117,1
0.170000,397.992981,6995.495117,1
0.180000,398.076660,6995.495117,1
0.190000,398.142456,6995.495117,1
0.200000,398.230804,6995.495117,1
0.210000,398.255096,6995.495117,1
0.220000,398.320923,6995.495117,1
0.230000,398.359528,6995.495117,1
0.240000,398.412109,6995.495117,1
0.250000,398.462524,6995.495117,1
0.260000,398.515808,6995.495117,1
0.270000,398.544800,6995.495117,1
0.280000,398.566589,6995.495117,1
0.290000,398.581970,6995.495117,1
0.300000,398.612030,6937.205566,2
0.310000,398.494720,6878.916016,2
0.320000,398.462524,6820.626465,2
0.330000,398.332367,6762.336914,2
0.340000,398.280853,6704.047363,2
0.350000,398.155701,6645.757812,2
0.360000,398.105988,6587.468262,2
0.370000,397.940765,6529.178711,2
0.380000,397.867798,6470.889160,2
0.390000,397.679688,6412.599609,2
0.400000,397.461548,6354.310059,2
0.410000,397.390015,6296.020508,2
0.420000,397.205475,6237.730957,2
0.430000,397.121796,6179.441406,2
0.440000,396.944397,6121.151855,2
0.450000,396.665466,6062.862305,2
0.460000,396.579254,6004.572754,2
0.470000,396.360413,5946.283203,2
0.480000,396.102539,5887.993652,2
0.490000,395.996338,5829.704102,2
0.500000,395.772095,5771.414551,2
0.510000,395.485992,5713.125000,2
0.520000,395.392670,5654.835449,2
0.530000,395.153748,5596.545898,2
0.540000,394.870148,5538.256348,2
0.550000,394.569763,5479.966797,2
0.560000,394.433136,5421.677246,2
0.570000,394.174225,5363.387695,2
0.580000,394.929871,5305.098145,2
0.590000,393.617035,5246.808594,2
0.600000,396.753082,6995.495117,3
0.610000,397.577057,6995.495117,3
0.620000,397.606720,6995.495117,3
0.630000,397.526978,6995.495117,3
0.640000,397.473694,6995.495117,3
0.650000,397.384644,6995.495117,3
0.660000,397.307739,6995.495117,3
0.670000,397.219055,6995.495117,3
0.680000,397.151123,6995.495117,3
0.690000,397.046326,6995.495117,3
0.700000,396.955505,6995.495117,3
0.710000,396.832825,6995.495117,3
0.720000,396.718018,6995.495117,3
0.730000,396.642212,6995.495117,3
0.740000,396.548523,6995.495117,3
0.750000,396.430145,6995.495117,3
0.760000,396.324646,6995.495117,3
0.770000,396.207703,6995.495117,3
0.780000,396.111145,6995.495117,3
0.790000,396.023163,6995.495117,3
0.800000,395.912994,6995.495117,3
0.810000,395.786041,6995.495117,3
0.820000,395.674103,6995.495117,3
0.830000,395.563965,6995.495117,3
0.839999,395.461670,6995.495117,3
0.849999,395.341858,6995.495117,3
0.859999,395.221008,6995.495117,3
0.869999,395.104767,6995.495117,3
0.879999,394.988525,6995.495117,3
0.889999,394.875885,6995.495117,3
