"Vcmax","Vpmax","Jmax","Rd0","VcmaxSE","VpmaxSE","JmaxSE","RMSE","trans_pt","ci_trans","emp_RMSE","AmaxLA","VpmaxLA","ID"
66725.2588413763,26.0702742994907,NA,1.333214232,136567594.839695,2.93357955474425,NA,4.26387139898657,NA,NA,2.38037416919907,22.575648940614,34.8248791641487,"bou_cur1_t1_ch2"
35.5329378276545,37.4930449685232,NA,1.871916531,1.04663217572074,0.979618137641959,NA,1.70123029211,NA,NA,1.69371399837152,116.81692618004,65.3939611683131,"bou_cur1_t1_ch2_27.5"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22.2856889095256,15.7537259773857,NA,1.833123373,0.858494910678798,0.403290729751653,NA,0.657094457884895,NA,NA,2.57364741904541,19.7506180755151,28.9664246185594,"bou_cur2_t1_ch2_27.5"
1105.16114123068,14.7838894233092,NA,1.16083149926042,238069.438048673,11.2996548894647,NA,4.2062765432402,NA,NA,3.69527655577153,24.0007528293163,23.2555074356484,"bou_cur4_t2_ch2"
153.328598352032,11.3721109334135,61.4178444418214,2.097541536,905.691629446675,1.7206652343512,0.320458253239723,0.387621455110318,57,538.395096677728,3.04530773894858,13.6225039182188,16.3317859666149,"bou_cur4_t2_ch2_27.5"
8260.90003275067,35.8037746571273,NA,1.304050004,14008622.4855344,25.2040361905252,NA,3.9752989288649,NA,NA,0.635418601846046,38.6881901335248,53.0581384661376,"bou_cur5_t3_ch2"
224.775275625069,25.6804004368665,118.777900997109,2.146954005,4238.9261682422,8.16234000425757,0.273097420417448,1.86827905453065,70,368.05282614389,1.1828695968776,47.4523005569881,57.3180938846964,"bou_cur5_t3_ch2_27.5"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17732272.4498051,4.05338020318392,31.5459901390025,2.477200964,8881354.77688478,0.0311117963348377,0.194775064242212,0.24547896395203,45,617.133465165268,0.847127886826574,476.708276687604,16.9765921795085,"bou_cur6_t3_ch2_27.5"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
