"id","pathway","Vcmax","Jmax","Rd","TPU"
"ely_can19_t2_ch4_27.5","C3","30.1399308645891","68.4826977840028","0.619251002333333",NA
NA,NA,NA,NA,NA,NA
"ely_can20_t2_ch4_27.5","C3","43.8499293731435","93.3505928159515","0.839015538833333",NA
"ely_can20_t2_ch4","C3","66.8872673653849","1e+06","0.132822354","3.54225638839035"
"ely_can21_t3_ch4_27.5","C3","42.559774346775","100.350337302959","1.742415545",NA
"ely_can21_t3_ch4","C3","73.3995326441372","111.152176038407","1.90890660616667",NA
"ely_can22_t3_ch4_27.5","C3","48.1948021044483","1e+06","1.81433691125","9.24304863375"
"ely_can22_t3_ch4","C3","91.3121446407232","135.597073596559","1.863272447",NA
"ely_can23_t4_ch4_27.5","C3","74.3546135336263","183.505200284107","1.8905281825",NA
"ely_can23_t4_ch4","C3","140.6149353257","1e+06","2.35173418741667","8.9762694368312"
NA,NA,NA,NA,NA,NA
"ely_can24_t4_ch4","C3","68.3023890221084","76.1954902696993","1.53930477346667","4.22364339823889"
"pas_smi18_t1_ch4_27.5","C3","93.5876936594903","174.239183027788","2.47538775427505","11.868523043925"
NA,NA,NA,NA,NA,NA
"pas_smi20_t2_ch4_27.5","C3","100.495770693994","144.81816535267","1.416686676",NA
"pas_smi20_t2_ch4","C3","199.293458761351","229.278554365949","1.89627196341667","13.9180119593845"
"pas_smi21_t3_ch4_27.5","C3","146.106975899229","240.159210654111","0.266742698916667","11.4560577958056"
"pas_smi21_t3_ch4","C3","318.665187779519","369.252418258823","1.19330365666667","18.5069363615741"
"pas_smi22_t3_ch4_27.5","C3","137.380647232521","283.302000584043","1.35479687683333",NA
"pas_smi22_t3_ch4","C3","290.931635587659","389.309985502574","2.70855617108333","21.2775673703611"
"pas_smi23_t4_ch4_27.5","C3","59.1948398491259","134.336995464426","2.32342642791667","9.28923991537222"
"pas_smi23_t4_ch4","C3","107.620150059081","158.175995718265","3.31460504566667",NA
"pas_smi24_t4_ch4_27.5","C3","72.2188530838105","150.862570426876","3.52333607180838",NA
"pas_smi24_t4_ch4","C3","135.089274627958","184.078733656222","2.40355046478348",NA
"poa_pra17_t1_ch4_27.5","C3","76.163695962092","88.5763692278318","2.03108130425",NA
"poa_pra17_t1_ch4","C3","99.204491851142","110.674095239411","2.16766893683333",NA
"poa_pra18_t1_ch4_27.5","C3","36.3738218160058","86.3183275997114","-1.55443729995386",NA
"poa_pra118_t1_ch4","C3","99.204491851142","110.674095239411","2.16766893683333",NA
"poa_pra19_t2_ch4_27.5","C3","53.2300576225501","90.7291193867749","1.8718462208",NA
"poa_pra19_t2_ch4","C3","82.4624950994174","107.357933938775","1.527287646",NA
"poa_pra20_t2_ch4_27.5","C3","37.9740917254507","76.3488900578983","0.908226582083333",NA
"poa_pra20_t2_ch4","C3","66.7584855953061","95.6700883888485","1.28423221908333",NA
"poa_pra21_t3_ch4_27.5","C3","61.8582736275552","115.179186437407","1.36761468216667","7.62994710961111"
"poa_pra21_t3_ch4","C3","106.916377326701","138.659035146785","1.48000357508333","8.51175986633213"
"poa_pra23_t4_ch4_27.5","C3","52.2248891413741","115.441000753754","-0.765453514369717",NA
"poa_pra23_t4_ch4","C3","109.79417491359","145.696726605851","1.14249369505",NA
"poa_pra24_t4_ch4_27.5","C3","66.6150120170048","122.986430711912","2.03108130425",NA
"poa_pra24_t4_ch4","C3","114.591772622208","156.987348681711","2.17374901325",NA
