flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00438_20230309150626,15:06:26,2023-03-09,PFA-00474,PSA-00486,PSF-00438,0.000000,0.000000,0.000000,327.986359,187.740677,0.427596,327.357483

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,271.543976,6995.495117,1
0.010000,302.359344,6995.495117,1
0.020000,309.898132,6995.495117,1
0.030000,315.817230,6995.495117,1
0.040000,320.193176,6995.495117,1
0.050000,322.965149,6995.495117,1
0.060000,324.354889,6995.495117,1
0.070000,324.964630,6995.495117,1
0.080000,325.180298,6995.495117,1
0.090000,325.202118,6995.495117,1
0.100000,325.129517,6995.495117,1
0.110000,325.002197,6995.495117,1
0.120000,324.809784,6995.495117,1
0.130000,324.617371,6995.495117,1
0.140000,324.398529,6995.495117,1
0.150000,324.191101,6995.495117,1
0.160000,323.968292,6995.495117,1
0.170000,323.713318,6995.495117,1
0.180000,323.473694,6995.495117,1
0.190000,323.256958,6995.495117,1
0.200000,323.028442,6995.495117,1
0.210000,322.767365,6995.495117,1
0.220000,322.544220,6995.495117,1
0.230000,322.305664,6995.495117,1
0.240000,322.072876,6995.495117,1
0.250000,321.859009,6995.495117,1
0.260000,321.628326,6995.495117,1
0.270000,321.415894,6995.495117,1
0.280000,321.177002,6995.495117,1
0.290000,320.967072,6995.495117,1
0.300000,320.776459,6937.205566,2
0.310000,320.574402,6878.916016,2
0.320000,320.404877,6820.626465,2
0.330000,320.260040,6762.336914,2
0.340000,320.119507,6704.047363,2
0.350000,319.987549,6645.757812,2
0.360000,319.859497,6587.468262,2
0.370000,319.709290,6529.178711,2
0.380000,319.605225,6470.889160,2
0.390000,319.467529,6412.599609,2
0.400000,319.367065,6354.310059,2
0.410000,319.291229,6296.020508,2
0.420000,319.180023,6237.730957,2
0.430000,319.092743,6179.441406,2
0.440000,318.989044,6121.151855,2
0.450000,318.917145,6062.862305,2
0.460000,318.849213,6004.572754,2
0.470000,318.760864,5946.283203,2
0.480000,318.675751,5887.993652,2
0.490000,318.633209,5829.704102,2
0.500000,318.568817,5771.414551,2
0.510000,318.492645,5713.125000,2
0.520000,318.476196,5654.835449,2
0.530000,318.401459,5596.545898,2
0.540000,318.352112,5538.256348,2
0.550000,318.293823,5479.966797,2
0.560000,318.290588,5421.677246,2
0.570000,318.228729,5363.387695,2
0.580000,318.195465,5305.098145,2
0.590000,318.151123,5246.808594,2
0.600000,318.440094,6995.495117,3
0.610000,317.874664,6995.495117,3
0.620000,317.434082,6995.495117,3
0.630000,317.125092,6995.495117,3
0.640000,316.884399,6995.495117,3
0.650000,316.685913,6995.495117,3
0.660000,316.512451,6995.495117,3
0.670000,316.344727,6995.495117,3
0.680000,316.200623,6995.495117,3
0.690000,316.065063,6995.495117,3
0.700000,315.941681,6995.495117,3
0.710000,315.803650,6995.495117,3
0.720000,315.683472,6995.495117,3
0.730000,315.556885,6995.495117,3
0.740000,315.451019,6995.495117,3
0.750000,315.322266,6995.495117,3
0.760000,315.213196,6995.495117,3
0.770000,315.116272,6995.495117,3
0.780000,315.020447,6995.495117,3
0.790000,314.890259,6995.495117,3
0.800000,314.785126,6995.495117,3
0.810000,314.697876,6995.495117,3
0.820000,314.595581,6995.495117,3
0.830000,314.531219,6995.495117,3
0.839999,314.445740,6995.495117,3
0.849999,314.345245,6995.495117,3
0.859999,314.259399,6995.495117,3
0.869999,314.176086,6995.495117,3
0.879999,314.072723,6995.495117,3
0.889999,313.993683,6995.495117,3
