flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00438_20230309124335,12:43:35,2023-03-09,PFA-00474,PSA-00486,PSF-00438,0.000000,0.000000,0.000000,251.436569,88.581207,0.647700,457.335693

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,148.260361,6995.495117,1
0.010000,187.530045,6995.495117,1
0.020000,202.734589,6995.495117,1
0.030000,212.258224,6995.495117,1
0.040000,218.195557,6995.495117,1
0.050000,221.704239,6995.495117,1
0.060000,223.798874,6995.495117,1
0.070000,224.993713,6995.495117,1
0.080000,225.876328,6995.495117,1
0.090000,226.504333,6995.495117,1
0.100000,226.880905,6995.495117,1
0.110000,227.055069,6995.495117,1
0.120000,227.269287,6995.495117,1
0.130000,227.410553,6995.495117,1
0.140000,227.463837,6995.495117,1
0.150000,227.464203,6995.495117,1
0.160000,227.453476,6995.495117,1
0.170000,227.424500,6995.495117,1
0.180000,227.255707,6995.495117,1
0.190000,227.178101,6995.495117,1
0.200000,227.154129,6995.495117,1
0.210000,227.048630,6995.495117,1
0.220000,226.839417,6995.495117,1
0.230000,226.746796,6995.495117,1
0.240000,226.637360,6995.495117,1
0.250000,226.549744,6995.495117,1
0.260000,226.388458,6995.495117,1
0.270000,226.220016,6995.495117,1
0.280000,226.016525,6995.495117,1
0.290000,225.888138,6995.495117,1
0.300000,225.762253,6937.205566,2
0.310000,225.486160,6878.916016,2
0.320000,225.270874,6820.626465,2
0.330000,224.991562,6762.336914,2
0.340000,224.804520,6704.047363,2
0.350000,224.502319,6645.757812,2
0.360000,224.334244,6587.468262,2
0.370000,224.078537,6529.178711,2
0.380000,223.900787,6470.889160,2
0.390000,223.541733,6412.599609,2
0.400000,223.207352,6354.310059,2
0.410000,223.008514,6296.020508,2
0.420000,222.671631,6237.730957,2
0.430000,222.566483,6179.441406,2
0.440000,222.251419,6121.151855,2
0.450000,221.923477,6062.862305,2
0.460000,221.713547,6004.572754,2
0.470000,221.323730,5946.283203,2
0.480000,220.958237,5887.993652,2
0.490000,220.716125,5829.704102,2
0.500000,220.479370,5771.414551,2
0.510000,220.093842,5713.125000,2
0.520000,219.877838,5654.835449,2
0.530000,219.530228,5596.545898,2
0.540000,219.205856,5538.256348,2
0.550000,218.815689,5479.966797,2
0.560000,218.522430,5421.677246,2
0.570000,218.135117,5363.387695,2
0.580000,217.782852,5305.098145,2
0.590000,217.398758,5246.808594,2
0.600000,220.125671,6995.495117,3
0.610000,220.347412,6995.495117,3
0.620000,220.163940,6995.495117,3
0.630000,219.942932,6995.495117,3
0.640000,219.788788,6995.495117,3
0.650000,219.616409,6995.495117,3
0.660000,219.380737,6995.495117,3
0.670000,219.238754,6995.495117,3
0.680000,219.036697,6995.495117,3
0.690000,218.827850,6995.495117,3
0.700000,218.595749,6995.495117,3
0.710000,218.384033,6995.495117,3
0.720000,218.181961,6995.495117,3
0.730000,217.972046,6995.495117,3
0.740000,217.747086,6995.495117,3
0.750000,217.513565,6995.495117,3
0.760000,217.256790,6995.495117,3
0.770000,217.007523,6995.495117,3
0.780000,216.762192,6995.495117,3
0.790000,216.525787,6995.495117,3
0.800000,216.274734,6995.495117,3
0.810000,216.140274,6995.495117,3
0.820000,215.874908,6995.495117,3
0.830000,215.810181,6995.495117,3
0.839999,215.192917,6995.495117,3
0.849999,214.918610,6995.495117,3
0.859999,214.772705,6995.495117,3
0.869999,214.450836,6995.495117,3
0.879999,214.131119,6995.495117,3
0.889999,213.961243,6995.495117,3
