id,rd,Tleaf,machine,chamber
bou_cur10_t1_ch3,0.940448459,27.47791667,stan,3
bou_cur10_t1_ch3,0.929366518,27.48150345,stan,3
bou_cur10_t1_ch3,0.946558763,27.48295,stan,3
bou_cur10_t1_ch3,0.932939344,27.48367037,stan,3
bou_cur10_t1_ch3,0.954254996,27.48483929,stan,3
bou_cur10_t1_ch3,0.968434057,27.48305185,stan,3
bou_cur10_t1_ch3,0.970445172,27.48255714,stan,3
bou_cur10_t1_ch3,0.973795989,27.48275185,stan,3
bou_cur10_t1_ch3,0.968196025,27.48345357,stan,3
bou_cur10_t1_ch3,0.967714787,27.48548148,stan,3
bou_cur10_t1_ch3,0.970503881,27.48356786,stan,3
bou_cur10_t1_ch3,0.962062541,27.48635185,stan,3
bou_cur10_t1_ch3,2.036184775,31.72408667,stan,3
bou_cur10_t1_ch3,2.087009224,31.88016552,stan,3
bou_cur10_t1_ch3,2.100946062,32.04455357,stan,3
bou_cur10_t1_ch3,2.16810434,32.21448519,stan,3
bou_cur10_t1_ch3,2.196922303,32.35893929,stan,3
bou_cur10_t1_ch3,2.234578409,32.51455926,stan,3
bou_cur10_t1_ch3,2.255793766,32.654475,stan,3
bou_cur10_t1_ch3,2.32400305,32.80958519,stan,3
bou_cur10_t1_ch3,2.373004945,32.94771071,stan,3
bou_cur10_t1_ch3,2.426204586,33.09953333,stan,3
bou_cur10_t1_ch3,2.439090022,33.23238929,stan,3
bou_cur10_t1_ch3,2.481366383,33.37773333,stan,3
bou_cur11_t2_ch3,0.316336169,27.48557,stan,3
bou_cur11_t2_ch3,0.328567903,27.47257778,stan,3
bou_cur11_t2_ch3,0.343293956,27.47447,stan,3
bou_cur11_t2_ch3,0.285440871,27.47847778,stan,3
bou_cur11_t2_ch3,0.285210549,27.48294,stan,3
bou_cur11_t2_ch3,0.341642681,27.48522222,stan,3
bou_cur11_t2_ch3,0.268457936,27.48132,stan,3
bou_cur11_t2_ch3,0.375165354,27.46995556,stan,3
bou_cur11_t2_ch3,0.306767568,27.47179,stan,3
bou_cur11_t2_ch3,0.19673525,27.47307778,stan,3
bou_cur11_t2_ch3,0.368472703,27.47117,stan,3
bou_cur11_t2_ch3,0.187874842,27.45837778,stan,3
bou_cur11_t2_ch3,0.797433745,34.56658182,stan,3
bou_cur11_t2_ch3,0.869321272,34.71907778,stan,3
bou_cur11_t2_ch3,0.777002986,34.83607,stan,3
bou_cur11_t2_ch3,0.901251432,34.98804444,stan,3
bou_cur11_t2_ch3,0.864111973,35.10803,stan,3
bou_cur11_t2_ch3,0.97200406,35.2053,stan,3
bou_cur11_t2_ch3,0.971147178,35.1619,stan,3
bou_cur11_t2_ch3,0.915459991,35.0165,stan,3
bou_cur11_t2_ch3,1.053734403,34.87141,stan,3
bou_cur11_t2_ch3,0.95096143,34.65154444,stan,3
bou_cur11_t2_ch3,0.723377479,34.49239,stan,3
bou_cur11_t2_ch3,0.539916474,34.34995556,stan,3
bou_cur13_t3_ch3,1.437772832,27.51088182,new,3
bou_cur13_t3_ch3,1.38399477,27.5161,new,3
bou_cur13_t3_ch3,1.331182538,27.51057,new,3
bou_cur13_t3_ch3,1.400474017,27.50863333,new,3
bou_cur13_t3_ch3,1.238753941,27.51949,new,3
bou_cur13_t3_ch3,1.24967528,27.51155556,new,3
bou_cur13_t3_ch3,1.341554965,27.50261,new,3
bou_cur13_t3_ch3,1.284451616,27.51527778,new,3
bou_cur13_t3_ch3,1.327716113,27.50478,new,3
bou_cur13_t3_ch3,1.265988922,27.50233333,new,3
bou_cur13_t3_ch3,1.312611647,27.49678,new,3
bou_cur13_t3_ch3,1.315016809,27.50587778,new,3
bou_cur13_t3_ch3,2.024806352,34.01365,new,3
bou_cur13_t3_ch3,2.066324813,34.20094444,new,3
bou_cur13_t3_ch3,2.080785242,34.34609,new,3
bou_cur13_t3_ch3,2.129663987,34.5254,new,3
bou_cur13_t3_ch3,2.057129199,34.68297,new,3
bou_cur13_t3_ch3,2.35309884,34.86183333,new,3
bou_cur13_t3_ch3,2.315210408,35.01441,new,3
bou_cur13_t3_ch3,2.094509037,35.17843333,new,3
bou_cur13_t3_ch3,2.235035549,35.25763,new,3
bou_cur13_t3_ch3,2.315273614,35.20818889,new,3
bou_cur13_t3_ch3,2.069994369,35.08885,new,3
bou_cur13_t3_ch3,2.258586785,34.91357778,new,3
bou_cur14_t3_ch3,1.604585557,27.52648,stan,3
bou_cur14_t3_ch3,1.50631241,27.52573333,stan,3
bou_cur14_t3_ch3,1.51801493,27.51499,stan,3
bou_cur14_t3_ch3,1.745004252,27.51173333,stan,3
bou_cur14_t3_ch3,1.601079169,27.51474,stan,3
bou_cur14_t3_ch3,1.610042921,27.50785556,stan,3
bou_cur14_t3_ch3,1.624040141,27.50442,stan,3
bou_cur14_t3_ch3,1.498494015,27.49194444,stan,3
bou_cur14_t3_ch3,1.346127708,27.49418,stan,3
bou_cur14_t3_ch3,1.487414698,27.49238889,stan,3
bou_cur14_t3_ch3,1.435025608,27.49335,stan,3
bou_cur14_t3_ch3,1.428335617,27.49685556,stan,3
bou_cur14_t3_ch3,1.799419077,32.74328,stan,3
bou_cur14_t3_ch3,1.759980311,32.89552222,stan,3
bou_cur14_t3_ch3,1.966077326,33.02814,stan,3
bou_cur14_t3_ch3,1.84491933,33.17153333,stan,3
bou_cur14_t3_ch3,1.937289603,33.31587,stan,3
bou_cur14_t3_ch3,1.944999076,33.4757,stan,3
bou_cur14_t3_ch3,1.961827475,33.60629,stan,3
bou_cur14_t3_ch3,2.062938091,33.72487778,stan,3
bou_cur14_t3_ch3,2.006337598,33.84055,stan,3
bou_cur14_t3_ch3,1.973094118,34.00296667,stan,3
bou_cur14_t3_ch3,2.180695284,34.11432,stan,3
bou_cur14_t3_ch3,2.052754532,34.23994444,stan,3
bou_cur15_t4_ch3,3.16295784,27.49670909,new,3
bou_cur15_t4_ch3,2.858605954,27.48507778,new,3
bou_cur15_t4_ch3,2.838204569,27.47828,new,3
bou_cur15_t4_ch3,2.775273626,27.48038889,new,3
bou_cur15_t4_ch3,2.731015153,27.49649,new,3
bou_cur15_t4_ch3,2.699804734,27.49533333,new,3
bou_cur15_t4_ch3,2.784200862,27.49873,new,3
bou_cur15_t4_ch3,2.782041452,27.50815556,new,3
bou_cur15_t4_ch3,2.766820597,27.50502,new,3
