"","ID","leaf.area.weight","leaf.d13c.mass.mg.","leaf.d13c","total_N","sample_weight"
"84","sch_sco28_t2_ch5","0.01",NA,NA,NA,NA
"85","sch_sco29_t3_ch5","0.01",2.882,"-7.87",87.83,2.882
"86","sch_sco30_t3_ch5","0.01",2.813,"-7.57",74.83,2.813
"87","sch_sco31_t4_ch5","0.01",2.805,"-7.58",74.94,2.805
"88","sch_sco32_t4_ch5","0.01",2.909,"-6.21",79.61,2.909
"89","sor_nut25_t1_ch5","0.03",2.892,"-8.29",NA,NA
"90","sor_nut26_t1_ch5","0.09",2.802,"-9.06",NA,NA
"91","sor_nut27_t2_ch5","0.01",2.731,"-8.1",38.13,2.731
"92","sor_nut28_t2_ch5","0.02",2.836,"-7.04",64.85,2.836
"93","sor_nut29_t3_ch5","0.02",2.752,"-7.72",45.41,2.753
"94","sor_nut30_t3_ch5","0.03",2.769,"-8.04",32.2,2.769
"95","sor_nut31_t4_ch5","0.06",2.742,"-8.07",32.1,2.742
"96","sor_nut32_t4_ch5","0.07",2.84,"-8.43",30.33,2.84
"97","pas_smi9_t1_ch3","0.01",1.179,"-29.88",50.15,1.179
"98","pas_smi10_t1_ch3","0.06",2.808,"-25.76",41.84,2.808
"99","pas_smi11_t2_ch3","0.11",2.91,"-26.69",66.34,2.91
"100","pas_smi12_t2_ch3","0.03",2.721,"-27.89",70.86,2.721
"101","pas_smi13_t3_ch3","0.18",2.981,"-25.94",39.92,2.981
"102","pas_smi14_t3_ch3","0.14",2.745,"-26.86",40.03,2.745
"103","pas_smi15_t4_ch3","0.13",3.011,"-26.41",38.3,3.011
"104","pas_smi16_t4_ch3","0.11",3.158,"-27.38",45.12,3.163
"105","ely_can9_t1_ch3","0.05",2.783,"-28.23",27.52,2.783
"106","ely_can10_t1_ch3","0.06",3.075,"-27.7",46.15,3.075
"107","ely_can11_t2_ch3","0.03",2.767,"-26.91",34.25,2.767
"108","ely_can12_t2_ch3","0.05",2.917,"-26.31",37.24,2.917
"109","ely_can13_t3_ch3","0.02",2.948,"-27.39",34.78,2.948
"110","ely_can14_t3_ch3","0.08",2.862,"-27.31",NA,NA
"111","ely_can15_t4_ch3","0.02",2.769,"-27.98",40.31,2.769
"112","ely_can16_t4_ch3","0.01",2.831,"-27.64",43.49,2.831
"113","poa_pra9_t1_ch3","0.02",2.897,"-26.6",62.12,2.897
"114","poa_pra10_t1_ch3","0.06",2.859,"-27.08",51.76,2.859
"115","poa_pra11_t2_ch3","no growth",NA,NA,NA,NA
"116","poa_pra12_t2_ch3","0.04",2.87,"-26.45",66.76,2.87
"117","poa_pra13_t3_ch3","0.02",2.809,"-26.76",54.16,2.809
"118","poa_pra14_t3_ch3","0.04",2.864,"-27.27",53.64,2.864
"119","poa_pra15_t4_ch3","0.01",2.841,"-26.88",61.1,2.841
"120","poa_pra16_t4_ch3","0.02",2.966,"-27.64",50.39,2.966
"121","bou_cur9_t1_ch3","0.09",2.982,"-9.44",36.67,2.982
"122","bou_cur10_t1_ch3","0.18",2.947,"-9.81",36.26,2.947
"123","bou_cur11_t2_ch3","0.06",2.942,"-9.97",33.87,2.942
"124","bou_cur12_t2_ch3","0.06",2.942,"-27.14",63.71,2.942
"125","bou_cur13_t3_ch3","0.05",2.759,"-8.65",31.89,2.759
"126","bou_cur14_t3_ch3","0.07",2.805,"-9.68",30.75,2.805
"127","bou_cur15_t4_ch3","0.11",2.97,"-9.09",31.47,2.97
"128","bou_cur16_t4_ch3","0.03",2.94,"-10.35",NA,NA
"129","sch_sco9_t1_ch3","0.07",2.848,"-7.69",48.84,2.848
"130","sch_sco10_t1_ch3","0.02",2.882,"-7.34",54.14,2.882
"131","sch_sco11_t2_ch3","0.06",2.893,"-8.3",40.62,2.893
"132","sch_sco12_t2_ch3","no growth",NA,NA,NA,NA
"133","sch_sco13_t3_ch3","0.01",2.817,"-6.73",63.19,2.817
"134","sch_sco14_t3_ch3","0.02",2.976,"-8.17",66.31,2.976
"135","sch_sco15_t4_ch3","0.03",2.796,"-9.23",33.76,2.796
"136","sch_sco16_t4_ch3","0.02",2.902,"-8.92",34.91,2.902
"137","sor_nut9_t1_ch3","0.05",2.95,"-7.62",28.67,2.95
"138","sor_nut10_t1_ch3","0.16",2.906,"-7.58",37.71,2.906
"139","sor_nut11_t2_ch3","0.16",2.896,"-8.06",31.79,2.896
"140","sor_nut12_t2_ch3","0.22",2.781,"-7.94",33.24,2.781
"141","sor_nut13_t3_ch3","0.18",2.873,"-6.89",43.64,2.873
"142","sor_nut14_t3_ch3","0.07",2.903,"-7.89",47.69,2.903
"143","sor_nut15_t4_ch3","0.04",2.836,"-6.95",33.55,2.836
"144","sor_nut16_t4_ch3","0.11",2.998,"-8.48",27.42,2.998
"145","pas_smi17_t1_ch4","0.02",3.158,"-28.28",39.93,3.158
"146","pas_smi18_t1_ch4","0.05",2.73,"-30",83.43,2.73
"147","pas_smi19_t2_ch4","0.22",3.065,"-27.34",30.46,3.065
"148","pas_smi20_t2_ch4","0.1",3.122,"-28.89",65.7,3.122
"149","pas_smi21_t3_ch4","0.05",2.82,"-28.22",103.98,2.82
"150","pas_smi22_t3_ch4","0.13",3.031,"-28.89",54.02,3.031
"151","pas_smi23_t4_ch4","0.23",2.883,"-26.36",31.6,2.883
"152","pas_smi24_t4_ch4","0.13",3.256,"-28.26",31.56,3.256
"153","ely_can17_t1_ch4","0.01",2.983,"-28.51",29.26,2.983
"154","ely_can18_t1_ch4","0.01",2.756,"-26.69",26.49,2.756
"155","ely_can19_t2_ch4","0.6",2.848,"-27.05",33.93,2.848
"156","ely_can20_t2_ch4","0.12",3.012,"-25.33",26.53,3.012
"157","ely_can21_t3_ch4","0.02",2.994,"-28.22",32.42,2.994
"158","ely_can22_t3_ch4","0.07",2.988,"-27.35",33.06,2.988
"159","ely_can23_t4_ch4","0.07",2.766,"-29.1",33.14,2.766
"160","ely_can24_t4_ch4","0.01",2.767,"-27.6",24.84,2.767
"161","poa_pra17_t1_ch4","0.02",2.847,"-27.52",46.76,2.847
"162","poa_pra18_t1_ch4","0.01",2.794,"-26.63",54.6,2.794
