"obs","time..2","elapsed","date","hhmmss..5","averaging","machine","id","TIME..9","E","Emm","A","Ca","Ci","Pci","Pca","gsw","gbw","gtw","gtc","Rabs","TleafEB","TleafCnd","SVPleaf","RHcham","VPcham","SVPcham","VPDleaf","LatHFlux","SenHFlux","NetTherm","EBSum","Asty","Esty","Adyn","Crd","Csd","dCsd/dt","αVc","Edyn","Hr","Hs","dHs/dt","αVh","Leak","LeakPct","CorrFact","CorrFactPct","Fan","Qin","Qabs","alpha","convert","S","K","Geometry","Custom","UseDynamic","TIME..59","CO2_s","CO2_r","H2O_s","H2O_r","CO2_a","H2O_a","Flow","Pa","ΔPcham","Tair","Tleaf","Tleaf2","Offset","Offset2","Fan_speed","Qamb_in","Qamb_out","ΔCO2","CO2_s_d","CO2_r_d","ΔH2O","CO2_b","H2O_b","e_s","e_r","Td_s","Td_r","Q","f_red","f_blue","f_farred","F","Q_modavg","F_dc","Pc","Tled","TDigital","TPreamp","TPwrSpy","TDrive","Q_red","Q_blue","Q_farred","TSPF","state","time..105","hhmmss..106","co2_t","h2o_t","count","co2_adj","h2o_adj","co2_match","h2o_match","co2_at","h2o_at","co2_cv","h2o_cv","ΔCO2:MN","ΔCO2:SLP","ΔCO2:SD","ΔCO2:OK","ΔH2O:MN","ΔH2O:SLP","ΔH2O:SD","ΔH2O:OK","Stable","Total","State","Vflow","VPchamber","abs_c_a","abs_c_b","abs_h_a","abs_h_b","Wc_s","Wc_r","Wco_s","Wco_r","Ww_s","Ww_r","Wwo_s","Wwo_r","Flow_s_v","Flow_r_v","Tleaf_mv","Tleaf2_mv","Tleaf_j","Tleaf2_j","Console_RH","Console_T","Console_H2O","Fan_%","Flow_%","Pump","Tchp_pwm","Txchg_pwm","diag_20v","diag_5_4v","diag_12v","diag_5va","diag_3_3vf","AccCO2_soda","AccH2O_des","AccH2O_hum","CO2_hrs","ADC_CH1","ADC_CH2","ADC_CH3","ADC_CH4","ADC_CH5","ADC_CH6","ADC_CH7","ADC_CH8","DAC_1","DAC_2","DAC_3","DAC_4","GPIO","GPIO_dir","excit_5v","power_12v","power_5v","ch1_pullup","AuxPower","MatchValveR","MatchValveS","MatchCO2","MatchH2O","cf_co2_a","cf_co2_b","cf_co2_c","cf_co2_d","cf_h2o_a","cf_h2o_b","cf_h2o_c","cf_h2o_d","co2_fit_low","co2_fit_high","h2o_fit_low","h2o_fit_high","co2_elapsed","h2o_elapsed","CO2_f","CO2_f_s","Pump_f","Pump_f_s","Pump_p","Pump_p_s","Tboard","V_system","DIAG","Flow_s","Flow_r","Txchg","Tirga","Tchopper","Ts","Tr","CO2_%","Desiccant_%","Humidifier_%","Txchg_sp","CO2_r_sp","H2O_r_sp","SS_s","SS_r","chamber"
1,1678826201,0,2023-03-14 15:36:41,15:36:41,5,"albert","poa_pra14_t3_ch3",1678826198,0.00041223961331258,0.412239613312589,-1.50981507480281,420.668455397376,507.463740942285,46.0717452969216,38.1917531596046,0.0243824075663454,3.67071371433662,0.0242927879515121,0.0151910168583934,0,27.4148052941333,27.4729363636364,3.67979055844789,59.3860171180382,2.18894268861926,3.68595638307992,1.49084786982863,-18.1797669470852,5.66161085830576,0.334486672333471,-12.1836694164459,-1.50981507480281,0.412239613312589,-1.49427262338002,430.219659875982,431.049672727273,-0.00074905983122472,64.0363384271342,0.307610753554595,23.8922564266398,24.0951703030303,-0.00574967938978315,97.8830818165168,0,0,1,0,47842,0,0,0,0,2.7,0.5,"0: Broadleaf",2,FALSE,1678826198,420.668454545455,419.946909090909,24.1104181818182,23.8932090909091,417.196272727273,23.7814636363636,500.076181818182,90.6881636363636,0.100086990909091,27.5015454545455,27.4729363636364,999.9,0,0,10001.8163636364,0,0.27582,0.721579818181818,431.061636363636,430.226363636364,0.217218,419.946909090909,23.8932090909091,2.18652818181818,2.16683090909091,18.8639545454545,18.7191727272727,0,0,0,0,-4.90909090909091,0,-0.722727272727273,-1.42272727272727,35.1588181818182,41.5055454545455,38.0395454545455,40.943,36.7498181818182,0,0,0,1678826220.5,0,0,"--:--:--",1664468064.5,1677795524,0,-0.419,-0.001,3.097,0.268,400,24,0.15,0.13,0.706056926829268,-0.0793771149825784,0.0623462520470294,1,0.192037902439024,0.283520550522648,0.0326095707631415,0,1,2,"1/2",2.97762,2.72818,0.0856016,0.0864934,0.107273,0.107509,27295.8,26951.4,30389.4,29760.8,37445.6,34967.2,46498.4,44254.2,1.8568,1.84555,0.027962,0,27.0172,999.9,47.6,33,26.5178,63.7217,20.2404,1,0.131156,0.834303,20.2196,5.23975,11.974,4.97215,3.291,9999,9999,9999,999.9,4.97299,1.87733,1.87546,1.87822,1.87494,1.87852,1.87561,1.87679,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.472,0.3285,1.94762574891753,0.00439959643036713,-2.00745463960156e-06,5.27731247482547e-10,-0.00586844414337197,0.00129891980130381,0.00061894977414306,-3.42875745750249e-06,0,2119,1,23,239302.3,17178,1.12183,2.54517,1.39893,2.35229,1.44897,2.49878,39.3917,24.0963,18,494.003,458.298,26.4713,28.9269,30,28.4567,28.4636,22.4897,19.2579,100,26.4908,419.919,23.8196,100.478,101.763,3
2,1678826206,5,2023-03-14 15:36:46,15:36:46,5,"albert","poa_pra14_t3_ch3",1678826203.5,0.00037075409429056,0.370754094290563,-1.50724347268919,420.643111961966,518.383623179711,47.0631233556537,38.1894368991456,0.0218857153405667,3.66987155924313,0.0218134637871293,0.0136398863964209,0,27.4218385813441,27.4726111111111,3.67972051187911,59.3251630187445,2.18648483988902,3.68559432225777,1.4932356719901,-16.3502555582138,5.39251481473625,0.318658460888982,-10.6390822825886,-1.50724347268919,0.370754094290563,-1.45695989892093,430.169859907794,430.982654545454,-0.00146657486388279,64.0363384271342,0.350619806731926,23.8864227011274,24.0777224242424,-0.00091957436826232,97.8830818165168,0,0,1,0,47836,0,0,0,0,2.7,0.5,"0: Broadleaf",2,FALSE,1678826203.5,420.643111111111,419.913444444445,24.0833555555556,23.8879777777778,417.171111111111,23.7550666666667,500.019888888889,90.6884222222222,0.0997918555555556,27.4998666666667,27.4726111111111,999.9,0,0,9998.55,0,0.27582,0.729573444444444,431.023555555556,430.189888888889,0.195378222222222,419.913444444445,23.8879777777778,2.18408222222222,2.16636444444444,18.8460222222222,18.7157111111111,0,0,0,0,-1.53333333333333,0,-4.20555555555556,-2.65555555555556,35.2567777777778,41.5551111111111,38.1107777777778,41.0135555555555,36.7705555555556,0,0,0,1678826225.3,0,0,"--:--:--",1664468064.5,1677795524,0,-0.419,-0.001,3.097,0.268,400,24,0.15,0.13,0.704966725,0.110893834896809,0.0444769291054292,0,0.20306415,0.0801273095684801,0.0232796671223516,1,1,2,"1/2",2.97751,2.72829,0.0855932,0.086492,0.107224,0.107437,27295.6,26951.4,30388.9,29760.7,37446.9,34970.1,46497.5,44254.1,1.8568,1.84547,0.0291057,0,26.996,999.9,47.6,33,26.5159,63.5217,20.2204,1,0.131026,0.793265,20.2201,5.2402,11.974,4.9722,3.291,9999,9999,9999,999.9,4.973,1.87732,1.87546,1.87822,1.87492,1.87852,1.87561,1.87679,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.472,0.3281,1.94762574891753,0.00439959643036713,-2.00745463960156e-06,5.27731247482547e-10,-0.00586844414337197,0.00129891980130381,0.00061894977414306,-3.42875745750249e-06,0,2119,1,23,239302.4,17178,1.12183,2.55493,1.39893,2.35229,1.44897,2.48779,39.3917,24.0963,18,494.024,458.282,26.4888,28.9238,30.0002,28.4597,28.4677,22.4875,19.5344,100,26.5097,419.919,23.8142,100.476,101.763,3
3,1678826211,10,2023-03-14 15:36:51,15:36:51,5,"albert","poa_pra14_t3_ch3",1678826208.2,0.00039953537065158,0.39953537065159,-1.39642722906205,420.622600785956,503.089700567906,45.6749317341278,38.1878391766771,0.0235846686136127,3.67366054679704,0.0235008735043711,0.0146955496666911,0,27.4149465183896,27.46723,3.6785618015975,59.285730069848,2.18491430381143,3.68539663969265,1.49364749778607,-17.6195098457351,6.28228516829309,0.370842876406879,-10.9663818010351,-1.39642722906205,0.39953537065159,-1.37885000749918,430.24694507808,431.008436363636,0.00027094808707771,64.0363384271342,0.32088453978119,23.8490528344217,24.0543903030303,-0.00510154207130438,97.8830818165168,0,0,1,0,47909,0,0,0,0,2.7,0.5,"0: Broadleaf",2,FALSE,1678826208.2,420.6226,419.9593,24.06589,23.85534,417.1507,23.73802,500.0164,90.68899,0.09985279,27.49895,27.46723,999.9,0,0,10013.058,0,0.2671317,0.663095,430.9948,430.2225,0.2105679,419.9593,23.85534,2.182511,2.163415,18.83453,18.69395,0,0,0,0,-3.445,0,-1.615,-2.1,35.2309,41.5998,38.1245,41.081,36.7748,0,0,0,1678826230.1,0,0,"--:--:--",1664468064.5,1677795524,0,-0.419,-0.001,3.097,0.268,400,24,0.15,0.13,0.692004682926829,0.0462766829268307,0.045008843781617,1,0.212510292682927,-0.071359484320557,0.0140662457959608,1,2,2,"2/2",2.97752,2.72826,0.0855939,0.0864852,0.107151,0.107372,27295,26951.7,30388.2,29760.8,37449.4,34972.7,46496.7,44254.3,1.85697,1.8452,0.0301525,0,26.976,999.9,47.6,33,26.5195,63.3217,20.4247,1,0.130539,0.752345,20.2196,5.23646,11.974,4.9717,3.2903,9999,9999,9999,999.9,4.97298,1.87736,1.87546,1.87829,1.87497,1.87853,1.87561,1.87682,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.472,0.3275,1.94762574891753,0.00439959643036713,-2.00745463960156e-06,5.27731247482547e-10,-0.00586844414337197,0.00129891980130381,0.00061894977414306,-3.42875745750249e-06,0,2119,1,23,239302.4,17178.1,1.12183,2.55737,1.39893,2.35229,1.44897,2.44507,39.3917,24.0875,18,494.138,458.131,26.5078,28.9207,29.9998,28.4622,28.4708,22.4884,19.5344,100,26.5324,419.919,23.8252,100.474,101.763,3
4,1678826216,15,2023-03-14 15:36:56,15:36:56,5,"albert","poa_pra14_t3_ch3",1678826213.5,0.00037143673612828,0.371436736128286,-1.4085489642916,420.610556349972,511.222557051301,46.4136626213521,38.1870404350091,0.0218777836319275,3.66955575687201,0.0218055781544757,0.0136349537544695,0,27.4196773633201,27.4718888888889,3.67956497785128,59.2371775388647,2.18298514546505,3.68516063080964,1.49657983238623,-16.3803600632574,5.13706590274347,0.30358526776952,-10.9397088927444,-1.4085489642916,0.371436736128286,-1.34533085901298,430.200442181961,430.948193939394,-0.0007655509717325,64.0363384271342,0.352547585430975,23.8485142593684,24.0393460606061,-0.0007097320241254,97.8830818165168,0,0,1,0,47886,0,0,0,0,2.7,0.5,"0: Broadleaf",2,FALSE,1678826213.5,420.610555555556,419.934333333333,24.0444555555556,23.8487111111111,417.138666666667,23.7171,500.022111111111,90.6895444444444,0.0999991333333333,27.4978555555556,27.4718888888889,999.9,0,0,9997.21222222222,0,0.274747444444444,0.676357555555556,430.973111111111,430.194,0.195741888888889,419.934333333333,23.8487111111111,2.18058,2.16283,18.8203555555556,18.6896111111111,0,0,0,0,-3.73888888888889,0,-3.72222222222222,-2.26666666666667,35.2638888888889,41.6525555555556,38.1941111111111,41.1247777777778,36.8191111111111,0,0,0,1678826235.5,0,0,"--:--:--",1664468064.5,1677795524,0,-0.419,-0.001,3.097,0.268,400,24,0.15,0.13,0.70051415,-0.215574686679176,0.0434765969876611,0,0.20578725,-0.0617364427767361,0.0109356574830917,1,1,2,"1/2",2.9774,2.72843,0.0855896,0.0864923,0.107107,0.107372,27295.2,26950.9,30388.3,29760.1,37451.4,34971.7,46496.9,44253,1.85665,1.84565,0.0314824,0,26.9554,999.9,47.6,33,26.5167,63.4817,20.6611,1,0.130401,0.704221,20.2204,5.24035,11.974,4.9729,3.291,9999,9999,9999,999.9,4.97296,1.8773,1.87545,1.87821,1.8749,1.87851,1.87561,1.87677,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.472,0.3272,1.94762574891753,0.00439959643036713,-2.00745463960156e-06,5.27731247482547e-10,-0.00586844414337197,0.00129891980130381,0.00061894977414306,-3.42875745750249e-06,0,2119,1,23,239302.5,17178.2,1.12183,2.55615,1.39893,2.35229,1.44897,2.39746,39.3667,24.0963,18,493.973,458.451,26.5293,28.9177,29.9998,28.4646,28.475,22.4862,19.5344,100,26.5525,419.919,23.8322,100.475,101.761,3
5,1678826221,20,2023-03-14 15:37:01,15:37:01,5,"albert","poa_pra14_t3_ch3",1678826218.2,0.00035132750191391,0.351327501913919,-1.41585630016971,420.619400796573,517.583891543121,46.9910732626128,38.1877361360296,0.0206987442144107,3.67188833191262,0.020634140147989,0.0129021251083268,0,27.423358631062,27.46434,3.67793963168476,59.212552068694,2.18200161561024,3.68503220918234,1.49593801607453,-15.4935428344038,6.51680513625255,0.384863441959072,-8.5918742561922,-1.41585630016971,0.351327501913919,-1.39534633654,430.190481716551,430.963309090909,-0.00021602143131083,64.0363384271342,0.342086640356174,23.8483360674258,24.0301963636364,-0.00022378373779081,97.8830818165168,0,0,1,0,47961,0,0,0,0,2.7,0.5,"0: Broadleaf",2,FALSE,1678826218.2,420.6194,419.9347,24.03369,23.84855,417.1475,23.7066,500.0466,90.68937,0.09991852,27.49726,27.46434,999.9,0,0,10006.2,0,0.2649252,0.6847352,430.9772,430.1942,0.1851408,419.9347,23.84855,2.179599,2.16281,18.81316,18.68945,0,0,0,0,-1.83,0,-3.71,-2.23,35.2559,41.6808,38.1998,41.1621,36.8309,0,0,0,1678826240.3,0,0,"--:--:--",1664468064.5,1677795524,0,-0.419,-0.001,3.097,0.268,400,24,0.15,0.13,0.690109975,-0.128044784240151,0.0418110920716546,0,0.1976013,-0.0522947842401507,0.00956607663621821,1,1,2,"1/2",2.9775,2.72852,0.0855884,0.0864886,0.107077,0.107368,27295.4,26951,30388.4,29760.1,37452.4,34972.1,46496.7,44253.2,1.85672,1.84557,0.032302,0,26.936,999.9,47.6,33,26.5175,63.0717,20.5208,1,0.129939,0.672688,20.2206,5.2402,11.974,4.97285,3.291,9999,9999,9999,999.9,4.97296,1.87736,1.87546,1.87825,1.87493,1.87852,1.87561,1.87681,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.472,0.327,1.94762574891753,0.00439959643036713,-2.00745463960156e-06,5.27731247482547e-10,-0.00586844414337197,0.00129891980130381,0.00061894977414306,-3.42875745750249e-06,0,2119,1,23,239302.6,17178.3,1.12061,2.54639,1.39893,2.35229,1.44897,2.44141,39.3917,24.105,18,494.031,458.427,26.5517,28.9139,29.9998,28.4671,28.4781,22.4854,19.5344,100,26.5769,419.919,23.8328,100.475,101.761,3
6,1678826226,25,2023-03-14 15:37:06,15:37:06,5,"albert","poa_pra14_t3_ch3",1678826223.5,0.00034034962159752,0.340349621597521,-1.3309199932989,420.603334084725,514.450119917371,46.7055022636117,38.1854123687093,0.0200299287026093,3.66854431917376,0.0199693705859761,0.0124862821702491,0,27.4260795527068,27.4685555555556,3.67884720283579,59.1958812519887,2.18144770958672,3.68513427530642,1.49739949324906,-15.0094183124507,5.77073891184936,0.34112159253621,-8.89755780806509,-1.3309199932989,0.340349621597521,-1.31170345357246,430.226413147509,430.952472727273,-0.00010842832961984,64.0363384271342,0.336488484996443,23.8489983935,24.0268593939394,-7.60268808865714e-05,97.8830818165168,0,0,1,0,47855,0,0,0,0,2.7,0.5,"0: Broadleaf",2,FALSE,1678826223.5,420.603333333333,419.962,24.0281333333333,23.8487777777778,417.131666666667,23.7011555555556,500.047777777778,90.6870222222222,0.100209533333333,27.4977333333333,27.4685555555556,999.9,0,0,9993.60222222222,0,0.27582,0.641594888888889,430.958666666667,430.222111111111,0.179343555555556,419.962,23.8487777777778,2.17903888888889,2.16277444444444,18.8090333333333,18.6892222222222,0,0,0,0,0.0777777777777778,0,-4.18888888888889,-2.89444444444444,35.2425555555556,41.729,38.2705555555555,41.229,36.861,0,0,0,1678826245.1,0,0,"--:--:--",1664468064.5,1677795524,0,-0.419,-0.001,3.097,0.268,400,24,0.15,0.13,0.668430219512195,-0.0679517770034847,0.0344682904127287,1,0.193248390243902,-0.120134257839721,0.0123590783081991,0,1,2,"1/2",2.97743,2.72875,0.0855843,0.0864898,0.107066,0.107369,27295.8,26951.1,30388.7,29760.3,37453.5,34972.1,46497.3,44253.3,1.85662,1.8457,0.0336953,0,26.9166,999.9,47.6,33,26.5165,63.3217,20.3365,1,0.129878,0.629061,20.2207,5.24065,11.974,4.97305,3.291,9999,9999,9999,999.9,4.97299,1.87731,1.87546,1.8782,1.87489,1.87851,1.8756,1.87676,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.472,0.3269,1.94762574891753,0.00439959643036713,-2.00745463960156e-06,5.27731247482547e-10,-0.00586844414337197,0.00129891980130381,0.00061894977414306,-3.42875745750249e-06,0,2119,1,23,239302.7,17178.4,1.12061,2.5415,1.39893,2.35229,1.44897,2.48169,39.3917,24.0963,18,493.988,458.535,26.5753,28.9102,29.9999,28.4689,28.4817,22.4827,19.5344,100,26.5996,419.919,23.8328,100.476,101.761,3
7,1678826231,30,2023-03-14 15:37:11,15:37:11,5,"albert","poa_pra14_t3_ch3",1678826228.2,0.00033110990682274,0.331109906822748,-1.34738872852561,420.589900760291,518.646293132178,47.0866350870393,38.1843337947982,0.0194974117978421,3.67170960955768,0.0194400752149624,0.012155184331921,0,27.4317783414711,27.46269,3.67758445475337,59.175111041797,2.18115404753727,3.68593148223526,1.4964304072161,-14.6019468908832,7.66855233614627,0.452910003645124,-6.4804845510918,-1.34738872852561,0.331109906822748,-1.32608610103739,430.198931023674,430.933496969697,-0.00023311179135025,64.0363384271342,0.326151517799589,23.850946750037,24.0232375757576,-5.96204649852186e-05,97.8830818165168,0,0,1,0,47822,0,0,0,0,2.7,0.5,"0: Broadleaf",2,FALSE,1678826228.2,420.5899,419.9376,24.02481,23.85033,417.1181,23.69797,500.068,90.68731,0.100257,27.50143,27.46269,999.9,0,0,10005.74,0,0.27582,0.6523347,430.9434,430.198,0.1744919,419.9376,23.85033,2.178747,2.162924,18.80689,18.69031,0,0,0,0,-3.415,0,-1.945,-2.925,35.3747,41.7624,38.256,41.2874,36.9122,0,0,0,1678826250.5,0,0,"--:--:--",1664468064.5,1677795524,0,-0.419,-0.001,3.097,0.268,400,24,0.15,0.13,0.669211804878049,-0.214036306620208,0.0321394037442373,0,0.186194975609756,-0.0989666968641109,0.0101533955980321,1,1,2,"1/2",2.97757,2.72857,0.0855839,0.0864875,0.107058,0.107378,27295.3,26951.3,30388.2,29760.3,37453,34972,46496.4,44253.7,1.8565,1.8458,0.0344403,0,26.8995,999.9,47.7,33,26.5743,63.6017,20.1723,1,0.12986,0.599581,20.221,5.2405,11.974,4.97335,3.291,9999,9999,9999,999.9,4.97296,1.87739,1.87547,1.87826,1.87496,1.87853,1.87562,1.87682,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.472,0.3269,1.94762574891753,0.00439959643036713,-2.00745463960156e-06,5.27731247482547e-10,-0.00586844414337197,0.00129891980130381,0.00061894977414306,-3.42875745750249e-06,0,2119,1,23,239302.8,17178.5,1.12183,2.54272,1.39893,2.35229,1.44897,2.50122,39.3667,24.105,18,493.934,458.628,26.5999,28.9065,29.9999,28.4713,28.4854,22.4844,19.5344,100,26.6253,419.919,23.8328,100.474,101.762,3
8,1678826236,35,2023-03-14 15:37:16,15:37:16,5,"albert","poa_pra14_t3_ch3",1678826233.5,0.00032201106080653,0.322011060806539,-1.32527647090124,420.56155630348,519.952469139841,47.2057844705477,38.1822173405638,0.0189430834853564,3.66831397062258,0.0188889059785776,0.0118104208713292,0,27.4362810333643,27.4683,3.67879217846145,59.1620027017381,2.18100875768696,3.68650258288651,1.49778342077449,-14.2006877815684,7.07563310850151,0.418295855433467,-6.70675881763338,-1.32527647090124,0.322011060806539,-1.25966019988059,430.176547450934,430.876557575757,-0.00070021558140326,64.0363384271342,0.322613536708276,23.853366190282,24.0232793939394,1.31105887686224e-05,97.8830818165168,0,0,1,0,47878,0,0,0,0,2.7,0.5,"0: Broadleaf",2,FALSE,1678826233.5,420.561555555556,419.919111111111,24.0229222222222,23.8532333333333,417.090111111111,23.6960777777778,500.058444444444,90.6884555555556,0.100197777777778,27.5040777777778,27.4683,999.9,0,0,9992.55888888889,0,0.275207111111111,0.642679777777778,430.913555555556,430.180333333333,0.169675666666667,419.919111111111,23.8532333333333,2.17860111111111,2.16321222222222,18.8058222222222,18.6924555555556,0,0,0,0,-1.28888888888889,0,-4.73333333333333,-3.13333333333333,35.2984444444444,41.812,38.2844444444444,41.354,36.9093333333333,0,0,0,1678826255.3,0,0,"--:--:--",1664468064.5,1677795524,0,-0.419,-0.001,3.097,0.268,400,24,0.15,0.13,0.655893,-0.12701335834897,0.0245860249105056,0,0.177703425,-0.0633021726078802,0.00616963143099934,1,1,2,"1/2",2.97757,2.72847,0.0855785,0.0864806,0.10706,0.107382,27295.4,26951.4,30388.1,29760.2,37452.9,34971.8,46496.4,44253.7,1.85645,1.84588,0.0354685,0,26.8824,999.9,47.7,33,26.5733,63.2817,20.1442,1,0.129398,0.561631,20.2212,5.2399,11.974,4.97305,3.291,9999,9999,9999,999.9,4.97298,1.87732,1.87546,1.87825,1.87491,1.87851,1.87561,1.87676,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.472,0.3268,1.94762574891753,0.00439959643036713,-2.00745463960156e-06,5.27731247482547e-10,-0.00586844414337197,0.00129891980130381,0.00061894977414306,-3.42875745750249e-06,0,2119,1,23,239302.9,17178.5,1.12183,2.55005,1.39893,2.35229,1.44897,2.49756,39.3667,24.0875,18,493.923,458.699,26.6249,28.9027,29.9999,28.4737,28.4884,22.4846,19.5344,100,26.648,419.919,23.8328,100.474,101.762,3
9,1678826241,40,2023-03-14 15:37:21,15:37:21,5,"albert","poa_pra14_t3_ch3",1678826238.2,0.0003224418904804,0.322441890480403,-1.39184475309339,420.599300786682,525.305176466373,47.6909144074782,38.1849754243701,0.0189849165317746,3.6689014880208,0.0189305085325792,0.0118364430947031,0,27.4381628865146,27.46265,3.67757584477515,59.1577396472108,2.18110200449725,3.68692586549845,1.4964738402779,-14.2196873701858,8.58244728059343,0.507284806525202,-5.12995528306713,-1.39184475309339,0.322441890480403,-1.47441912360961,430.174353032574,430.964581818182,0.00545406149563077,64.0363384271342,0.318882406940006,23.8546961717949,24.0230824242424,-4.81296409522191e-05,97.8830818165168,0,0,1,0,47794,0,0,0,0,2.7,0.5,"0: Broadleaf",2,FALSE,1678826238.2,420.5993,419.921,24.02437,23.85445,417.1275,23.69751,500.0457,90.68696,0.10010349,27.50604,27.46265,999.9,0,0,9994.982,0,0.2573402,0.6783905,430.9526,430.1828,0.169956,419.921,23.85445,2.178698,2.163286,18.80653,18.69298,0,0,0,0,-1.345,0,-5.49,-3.07,35.1687,41.8498,38.3372,41.3998,36.8934,0,0,0,1678826260.1,0,0,"--:--:--",1664468064.5,1677795524,0,-0.419,-0.001,3.097,0.268,400,24,0.15,0.13,0.6544884,0.0960565328330194,0.0252993474834826,1,0.173740025,-0.0410645290806754,0.00424754483488697,1,2,2,"2/2",2.97754,2.72826,0.0855864,0.0864804,0.107053,0.10738,27295.8,26951.4,30388.7,29760.1,37453.7,34971.9,46497,44253.7,1.85665,1.84585,0.0371113,0,26.8659,999.9,47.7,33,26.5741,63.5617,20.2925,1,0.129489,0.531642,20.221,5.2402,11.9739,4.9731,3.291,9999,9999,9999,999.9,4.97296,1.87741,1.87546,1.87828,1.87499,1.87854,1.87561,1.87683,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.472,0.3268,1.94762574891753,0.00439959643036713,-2.00745463960156e-06,5.27731247482547e-10,-0.00586844414337197,0.00129891980130381,0.00061894977414306,-3.42875745750249e-06,0,2119,1,23,239302.9,17178.6,1.12183,2.55859,1.39893,2.35229,1.44897,2.43652,39.3667,24.0875,18,494.043,458.707,26.6487,28.8984,30.0001,28.475,28.4915,22.4848,19.5344,100,26.6747,419.919,23.8328,100.475,101.762,3
10,1678826246,45,2023-03-14 15:37:26,15:37:26,5,"albert","poa_pra14_t3_ch3",1678826243.5,0.00032061132495161,0.320611324951615,-1.38282535359094,420.605223002579,525.372002095383,47.69686445511,38.1854195325451,0.0188484788827895,3.67381440316048,0.0187949203999829,0.011751624498678,0,27.4399046205637,27.4723222222222,3.6796582975795,59.1496577074989,2.18096623048846,3.68720008706316,1.49869206709104,-14.1389594303662,6.92999317714395,0.409087378074681,-6.79987887514761,-1.38282535359094,0.320611324951615,-1.36929307821334,430.183135602047,430.947212121212,-0.0014223500704067,64.0363384271342,0.323831962423703,23.8540972226903,24.0244557575758,4.29709138464332e-05,97.8830818165168,0,0,1,0,47779,0,0,0,0,2.7,0.5,"0: Broadleaf",2,FALSE,1678826243.5,420.605222222222,419.931333333333,24.0229333333333,23.8539666666667,417.133444444444,23.6961,500.012888888889,90.6872777777778,0.0995632888888889,27.5073111111111,27.4723222222222,999.9,0,0,10013.8388888889,0,0.274747444444444,0.673841666666667,430.958222222222,430.193333333333,0.168956222222222,419.931333333333,23.8539666666667,2.17857333333333,2.16325222222222,18.8056222222222,18.6927222222222,0,0,0,0,-2.40555555555556,0,-4.45,-2.95555555555556,35.2916666666667,41.8887777777778,38.3817777777778,41.451,36.972,0,0,0,1678826265.5,0,0,"--:--:--",1664468064.5,1677795524,0,-0.419,-0.001,3.097,0.268,400,24,0.15,0.13,0.662315375,0.144283103189492,0.0275566902291326,0,0.1709706,-0.0224225515947468,0.00262461358870215,1,1,2,"1/2",2.97758,2.72806,0.0855829,0.0864889,0.107058,0.107381,27296.1,26950.7,30388.9,29759.7,37453.8,34971,46497.4,44252.6,1.85655,1.84608,0.0377223,0,26.851,999.9,47.7,33,26.5755,63.5717,20.4928,1,0.129489,0.502372,20.2211,5.24035,11.974,4.9734,3.291,9999,9999,9999,999.9,4.97298,1.8774,1.87549,1.87831,1.87498,1.87854,1.87563,1.87683,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.472,0.3268,1.94762574891753,0.00439959643036713,-2.00745463960156e-06,5.27731247482547e-10,-0.00586844414337197,0.00129891980130381,0.00061894977414306,-3.42875745750249e-06,0,2119,1,23,239303,17178.7,1.12061,2.55615,1.39893,2.35229,1.44897,2.43042,39.3667,24.0963,18,493.995,458.87,26.6752,28.8941,30.0001,28.4761,28.4939,22.482,19.5344,100,26.694,419.919,23.8328,100.476,101.759,3
