"obs","time..2","elapsed","date","hhmmss..5","averaging","id","machine","TIME..9","E","Emm","A","Ca","Ci","Pci","Pca","gsw","gbw","gtw","gtc","Rabs","TleafEB","TleafCnd","SVPleaf","RHcham","VPcham","SVPcham","VPDleaf","LatHFlux","SenHFlux","NetTherm","EBSum","Asty","Esty","Adyn","Crd","Csd","dCsd/dt","αVc","Edyn","Hr","Hs","dHs/dt","αVh","Leak","LeakPct","CorrFact","CorrFactPct","Fan","Qin","Qabs","alpha","convert","S","K","Geometry","Custom","UseDynamic","TIME..59","CO2_s","CO2_r","H2O_s","H2O_r","CO2_a","H2O_a","Flow","Pa","ΔPcham","Tair","Tleaf","Tleaf2","Offset","Offset2","Fan_speed","Qamb_in","Qamb_out","ΔCO2","CO2_s_d","CO2_r_d","ΔH2O","CO2_b","H2O_b","e_s","e_r","Td_s","Td_r","Q","f_red","f_blue","f_farred","F","Q_modavg","F_dc","Pc","Tled","TDigital","TPreamp","TPwrSpy","TDrive","Q_red","Q_blue","Q_farred","TSPF","state","time..105","hhmmss..106","co2_t","h2o_t","count","co2_adj","h2o_adj","co2_match","h2o_match","co2_at","h2o_at","co2_cv","h2o_cv","ΔCO2:MN","ΔCO2:SLP","ΔCO2:SD","ΔCO2:OK","ΔH2O:MN","ΔH2O:SLP","ΔH2O:SD","ΔH2O:OK","Stable","Total","State","Vflow","VPchamber","abs_c_a","abs_c_b","abs_h_a","abs_h_b","Wc_s","Wc_r","Wco_s","Wco_r","Ww_s","Ww_r","Wwo_s","Wwo_r","Flow_s_v","Flow_r_v","Tleaf_mv","Tleaf2_mv","Tleaf_j","Tleaf2_j","Console_RH","Console_T","Console_H2O","Fan_%","Flow_%","Pump","Tchp_pwm","Txchg_pwm","diag_20v","diag_5_4v","diag_12v","diag_5va","diag_3_3vf","AccH2O_hum","CO2_hrs","AccCO2_soda","AccH2O_des","ADC_CH1","ADC_CH2","ADC_CH3","ADC_CH4","ADC_CH5","ADC_CH6","ADC_CH7","ADC_CH8","DAC_1","DAC_2","DAC_3","DAC_4","GPIO","GPIO_dir","excit_5v","power_12v","power_5v","ch1_pullup","AuxPower","MatchValveR","MatchValveS","MatchCO2","MatchH2O","cf_co2_a","cf_co2_b","cf_co2_c","cf_co2_d","cf_h2o_a","cf_h2o_b","cf_h2o_c","cf_h2o_d","co2_fit_low","co2_fit_high","h2o_fit_low","h2o_fit_high","co2_elapsed","h2o_elapsed","CO2_f","CO2_f_s","Pump_f","Pump_f_s","Pump_p","Pump_p_s","Tboard","V_system","DIAG","Flow_s","Flow_r","Txchg","Tirga","Tchopper","Ts","Tr","CO2_%","Desiccant_%","Humidifier_%","Txchg_sp","CO2_r_sp","H2O_r_sp","SS_s","SS_r","chamber"
1,1678121350,0,2023-03-06 10:49:10,10:49:10,5,"pas_smi23_t4_ch4","gibson",1678121342,0.00670755990019056,6.70755990019057,10.3001781065353,412.85312304707,314.798379599667,28.4043885768035,37.2519088156965,0.213662526423711,3.65436743099612,0.206957156582627,0.129933144270606,321.519925451613,36.5625996402372,35.0022451612903,5.64907364944238,46.8151005104579,2.86260504561483,6.11470447441496,2.78646860382755,-295.803391598404,283.260743329522,18.2300056400556,327.207282822786,10.26633497335,6.81819211817829,10.3001781065353,432.076579947264,426.349254545455,0.00163499440712657,67.5770546745091,6.70755990019057,28.162706148658,31.6889012121212,-0.00266041311069908,113.6,23,5,1,0,46463,2000.02096774194,1681.21791290323,0.840600143708171,0.16075827735677,2.7,0.5,"0: Broadleaf",2,TRUE,1678121342,412.853129032258,419.912451612903,31.7255,28.1627806451613,412.568451612903,31.3465129032258,500.322322580645,90.130464516129,0.0999509419354839,36.4400129032258,35.0022451612903,999.9,0,0,10000.5396774194,0,12.542835483871,-7.05925838709677,426.38035483871,432.080870967742,3.56272225806452,419.912451612903,28.1627806451613,2.85943451612903,2.53832483870968,23.2312580645161,21.2743419354839,2000.02096774194,0.979996225806452,0.0200038258064516,0,2.54999677419355,0,5627.84741935484,16705.5580645161,47.062,48.375,47.8180967741935,46.816064516129,47.066064516129,1960.01096774194,40.01,0,1678121353.9,0,0,"--:--:--",1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,-7.0575756097561,-0.0280369337979346,0.045804436575446,1,3.57914,-0.293168780487805,0.029047457552149,0,1,2,"1/2",2.84408,2.71055,0.0894674,0.0905952,0.123656,0.113611,26052.2,22170.8,25610.6,23749.5,38318,34818.4,46328.1,42337.5,1.72208,1.87582,0.11836,0,33.123,999.9,60.103,29.386,27.4238,54.4037,44.7356,1,0.14095,-6.43707,20.1019,5.23466,11.992,4.95605,3.304,9999,999.9,9999,9999,1.86881,1.86447,1.8721,1.86295,1.86234,1.86879,1.85885,1.86538,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,0.285,0.379,0.113826916836126,0.00045200840801911,-6.84267804538238e-08,-5.69986074957693e-11,0.378989885927741,0,0,0,2,1362,1,28,44693.4,44693.4,1.04004,2.36328,1.44775,2.30835,1.44409,2.26074,36.9317,24.0525,18,403.797,483.221,35.8873,29.3436,30.0047,28.9951,28.9944,20.7815,0,100,37.1561,413.054,30.7472,98.0297,99.5619,4
2,1678121355,5,2023-03-06 10:49:15,10:49:15,5,"pas_smi23_t4_ch4","gibson",1678121347.15517,0.00689822031164834,6.89822031164834,10.4017660286208,412.851028431223,316.043893737252,28.5168881174292,37.251871718574,0.219548093931231,3.6589542795985,0.21248336411648,0.133417903009221,321.519055551724,36.5008200686052,35.0119586206897,5.65211294213949,46.8439522825153,2.86098042984283,6.10747020786865,2.79113251229666,-304.211515743692,277.439517641861,17.8319476396172,312.579005089511,9.96413583630712,6.78422875869784,10.4017660286208,432.126424525787,426.352903030303,-0.00053448247380313,67.5770546745091,6.89822031164834,28.161686862987,31.7177793939394,0.00610005194805622,113.6,23,5,1,0,46325,2000.01551724138,1681.21333448276,0.8406001453437,0.160758280513341,2.7,0.5,"0: Broadleaf",2,TRUE,1678121347.15517,412.851034482759,419.73975862069,31.7073655172414,28.1622965517241,412.566206896552,31.3283793103448,500.318068965517,90.1308862068966,0.0998971827586207,36.4184137931034,35.0119586206897,999.9,0,0,10018.2020689655,0,12.8987344827586,-6.88873448275862,426.370137931035,431.903,3.5450724137931,419.73975862069,28.1622965517241,2.85781379310345,2.53829310344828,23.221875862069,21.2741413793103,2000.01551724138,0.979996275862069,0.0200037724137931,0,2.54254827586207,0,5623.04034482758,16705.5137931034,47.062,48.379275862069,47.8206896551724,46.8272068965517,47.0706896551724,1960.00551724138,40.01,0,1678121358.7,0,0,"--:--:--",1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,-6.9825445,1.2179128705441,0.269436085685919,0,3.5565715,-0.229055459662287,0.0241090407886751,0,0,2,"0/2",2.84382,2.71043,0.0894537,0.0901359,0.123742,0.11361,26051.5,22180.8,25609.6,23748.3,38312.5,34816.7,46326,42335.4,1.72202,1.87565,0.116862,0,33.121,999.9,60.078,29.406,27.4414,53.7537,44.359,1,0.145996,-3.6966,20.1869,5.23271,11.992,4.95635,3.304,9999,999.9,9999,9999,1.86883,1.86448,1.8721,1.86295,1.86234,1.86882,1.8589,1.86538,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,0.285,0.379,0.113826916836126,0.00045200840801911,-6.84267804538238e-08,-5.69986074957693e-11,0.378989885927741,0,0,0,2,1362,1,28,44693.5,44693.5,1.0144,2.34497,1.44775,2.30835,1.44409,2.30591,36.9556,24.105,18,403.794,483.143,37.1074,29.3496,30.0031,28.9988,28.9988,20.2886,0,100,36.7002,399.545,30.7472,98.0254,99.5569,4
3,1678121360,10,2023-03-06 10:49:20,10:49:20,5,"pas_smi23_t4_ch4","gibson",1678121352.23214,0.00682656165895408,6.82656165895408,10.1318452361752,412.402744054213,316.775124427352,28.5832259068528,37.2118890939334,0.21711578152253,3.65663630770818,0.210199837743925,0.131977917312888,321.52017,36.5167659410142,35.0153678571429,5.65318001200295,46.8423906107949,2.86101617962523,6.10775014323437,2.79216383237773,-301.051369159875,276.75651962244,17.799691935428,315.025012397993,5.59909547888736,6.78601128522405,10.1318452361752,425.335143444871,423.150909090909,-0.727660995425843,67.5770546745091,6.82656165895408,28.1601379830736,31.7233987878788,0.00047265800865598,113.6,23,5,1,0,45967,2000.0225,1681.2192,0.840600143248388,0.16075827646939,2.7,0.5,"0: Broadleaf",2,TRUE,1678121352.23214,412.40275,416.934464285714,31.7073642857143,28.161475,412.118107142857,31.3283821428571,500.33375,90.131875,0.100039385714286,36.41925,35.0153678571429,999.9,0,0,10009.1414285714,0,12.9065678571429,-4.53175032142857,425.907107142857,429.016107142857,3.54589464285714,416.934464285714,28.161475,2.85784464285714,2.53824678571429,23.2220535714286,21.2738428571429,2000.0225,0.979996357142857,0.0200036857142857,0,2.5437,0,5619.18678571429,16705.5678571429,47.062,48.3949285714286,47.82775,46.8435,47.07775,1960.0125,40.01,0,1678121364.1,0,0,"--:--:--",1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,-5.26725021951219,24.8128161114983,3.19471564040684,0,3.55032463414634,0.00048397212544068,0.0159205841750831,1,1,2,"1/2",2.84425,2.70999,0.088851,0.0880062,0.123743,0.113606,26067.9,22232.3,25608.8,23747.8,38311.6,34816.2,46325.1,42334.6,1.72228,1.87542,0.11811,0,33.1185,999.9,60.078,29.427,27.4753,54.4537,43.8101,1,0.139418,-2.42901,20.2117,5.23286,11.992,4.95585,3.30395,9999,999.9,9999,9999,1.86886,1.86447,1.8721,1.86295,1.86234,1.86882,1.85888,1.86538,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,0.284,0.379,0.113826916836126,0.00045200840801911,-6.84267804538238e-08,-5.69986074957693e-11,0.378989885927741,0,0,0,2,1362,1,28,44693.6,44693.6,0.983887,2.33765,1.44775,2.30835,1.44409,2.37549,36.9556,24.1138,18,403.955,483.026,37.0099,29.3545,29.9977,29.0027,29.0024,19.6076,0,100,36.677,379.409,30.7472,98.0231,99.555,4
4,1678121365,15,2023-03-06 10:49:25,10:49:25,5,"pas_smi23_t4_ch4","gibson",1678121357.5,0.0066474062798758,6.64740627987581,9.95259779287238,409.735105272959,313.442648458754,28.2826047361616,36.9712803472868,0.21094107486237,3.65176048000284,0.204398106574881,0.128319770545733,321.519830111111,36.5727151113797,35.0284148148148,5.65726524614751,46.7999418904083,2.86126722496187,6.11382644803731,2.79599802118564,-293.150616942523,277.390683824704,17.8670070500946,323.626904043387,-4.27674560679317,6.79352780335625,9.95259779287238,410.370780839922,413.982145454545,-1.93205163201731,67.5770546745091,6.64740627987581,28.1594291194805,31.6882539393939,-0.00696081385281076,113.6,23,5,1,0,46073,2000.02037037037,1681.21741111111,0.840600143887423,0.160758277702727,2.7,0.5,"0: Broadleaf",2,TRUE,1678121357.5,409.735111111111,408.929333333333,31.710062962963,28.1603074074074,409.451444444444,31.3310740740741,500.341,90.1321333333333,0.100018785185185,36.4373925925926,35.0284148148148,999.9,0,0,9990.29481481482,0,12.9089,0.805670037037037,423.153222222222,420.778703703704,3.54977555555556,408.929333333333,28.1603074074074,2.85809666666667,2.53814814814815,23.2235148148148,21.2732074074074,2000.02037037037,0.979996555555556,0.0200034740740741,0,2.53727407407407,0,5616.44740740741,16705.5592592593,47.062,48.397962962963,47.8423333333333,46.8633333333333,47.0806666666667,1960.01037037037,40.01,0,1678121368.9,0,0,"--:--:--",1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,-2.40943119512195,53.4929811010453,5.84398459709112,0,3.54703048780488,0.069894564459935,0.0137497464191641,1,1,2,"1/2",2.844,2.71,0.0872825,0.0852302,0.123642,0.113598,26113.1,22300.3,25609.2,23748.3,38316.6,34817.2,46325.7,42335.5,1.72195,1.87547,0.119656,0,33.1198,999.9,60.078,29.416,27.459,54.4937,43.5657,1,0.137802,-2.01873,20.2179,5.23271,11.992,4.95585,3.30398,9999,999.9,9999,9999,1.86884,1.86447,1.87211,1.86295,1.86234,1.86882,1.85889,1.86539,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,0.28,0.379,0.113826916836126,0.00045200840801911,-6.84267804538238e-08,-5.69986074957693e-11,0.378989885927741,0,0,0,2,1362,1,28,44693.7,44693.7,0.946045,2.32056,1.44775,2.30835,1.44409,2.45117,36.9794,24.1225,18,403.804,483.091,36.8305,29.3597,29.9983,29.0068,29.0062,18.9554,0,100,36.6574,365.938,30.7472,98.0244,99.5571,4
5,1678121370,20,2023-03-06 10:49:30,10:49:30,5,"pas_smi23_t4_ch4","gibson",1678121362.21429,0.00657467911843042,6.57467911843042,9.18553858492212,403.591066031006,312.578020600885,28.2045498691641,36.4168418711535,0.208370437220664,3.64737324601028,0.201975941493644,0.126793137181135,321.5196,36.6098420110726,35.0335107142857,5.65886155941029,46.7286888368076,2.86030416655235,6.1210880034351,2.79855739285794,-289.943349122782,280.314736576649,18.0794183390671,329.970405792935,-16.0983161055443,6.77604627556803,9.18553858492212,392.918817657642,400.6882,-2.72135818197354,67.5770546745091,6.57467911843042,28.1566687678355,31.6522012121212,-0.00754067532467803,113.6,23,5,1,0,46071,2000.01892857143,1681.2162,0.840600144320063,0.160758278537721,2.7,0.5,"0: Broadleaf",2,TRUE,1678121362.21429,403.591071428571,396.379714285714,31.6994321428571,28.1587964285714,403.309785714286,31.3204357142857,500.344428571429,90.131975,0.100056717857143,36.4590535714286,35.0335107142857,999.9,0,0,9973.39142857143,0,12.9089,7.21126003571429,416.803571428571,407.864785714286,3.54064178571429,396.379714285714,28.1587964285714,2.85713285714286,2.53800821428571,23.2179392857143,21.2723035714286,2000.01892857143,0.979996678571429,0.0200033428571429,0,2.57163928571428,0,5615.24392857143,16705.5535714286,47.062,48.4015714285714,47.85925,46.87275,47.098,1960.00892857143,40.01,0,1678121374.3,0,0,"--:--:--",1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,3.58342319512195,81.3537573658536,8.10968265545171,0,3.53981170731707,-0.101681811846688,0.0211306705655188,0,0,2,"0/2",2.84376,2.71008,0.0850517,0.0823797,0.123542,0.11359,26177.3,22369.5,25609.6,23747.9,38321.4,34817.1,46326.2,42335.1,1.7217,1.87552,0.118557,0,33.1249,999.9,60.054,29.447,27.5007,54.8637,43.7981,1,0.137386,-1.92932,20.2191,5.23167,11.992,4.95605,3.30398,9999,999.9,9999,9999,1.86884,1.86447,1.8721,1.86295,1.86234,1.86882,1.85889,1.86539,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,0.275,0.379,0.113826916836126,0.00045200840801911,-6.84267804538238e-08,-5.69986074957693e-11,0.378989885927741,0,0,0,2,1362,1,28,44693.8,44693.8,0.914307,2.31812,1.44775,2.30835,1.44409,2.45728,36.9556,24.1138,18,403.689,483.154,36.6906,29.3646,29.9993,29.0101,29.0099,18.3647,0,100,36.6123,345.775,30.7472,98.0257,99.5559,4
6,1678121375,25,2023-03-06 10:49:35,10:49:35,5,"pas_smi23_t4_ch4","gibson",1678121367.5,0.00654928928325706,6.54928928325707,8.68871582586257,392.541217155085,305.438503102341,27.5597772486437,35.4190725655854,0.207014304890419,3.65145017789698,0.200708232674788,0.125993219569756,321.518825222222,36.6260521517744,35.0459148148148,5.66274883559236,46.6541419085006,2.85746779046288,6.12478908317943,2.80528104512947,-288.823657391637,280.357880951805,18.0640682131798,331.11711699557,-26.5867076237349,6.7181545077406,8.68871582586257,376.302638596699,385.697133333333,-3.00674340564698,67.5770546745091,6.54928928325707,28.1580978491775,31.6247539393939,-0.00554805194804709,113.6,23,5,1,0,46347,2000.01407407407,1681.21212222222,0.840600145776752,0.160758281349131,2.7,0.5,"0: Broadleaf",2,TRUE,1678121367.5,392.541222222222,379.616851851852,31.6686407407407,28.1580037037037,392.264111111111,31.2896444444444,500.324555555556,90.1303111111111,0.0998889740740741,36.4700851851852,35.0459148148148,999.9,0,0,9989.29962962963,0,12.9089,12.9243674074074,405.379333333333,390.615851851852,3.51064518518519,379.616851851852,28.1580037037037,2.85430555555555,2.53788925925926,23.2015555555556,21.2715481481481,2000.01407407407,0.979996888888889,0.0200031185185185,0,2.58725925925926,0,5614.46481481481,16705.5111111111,47.0783333333333,48.4025555555555,47.875,46.875,47.111,1960.00407407407,40.01,0,1678121379.1,0,0,"--:--:--",1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,8.946050025,68.0995135722327,6.79746887318317,0,3.52773725,-0.334244015009381,0.0331076926851978,0,0,2,"0/2",2.84377,2.71029,0.0825436,0.0796503,0.123469,0.113597,26248.7,22435.9,25609.3,23747.8,38324.5,34816.9,46326.2,42335.3,1.72143,1.87512,0.118919,0,33.1319,999.9,60.029,29.416,27.4357,54.5437,44.1146,1,0.137594,-1.99639,20.2184,5.23212,11.992,4.956,3.30395,9999,999.9,9999,9999,1.8688,1.86447,1.8721,1.86295,1.86234,1.86883,1.85888,1.86538,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,0.27,0.379,0.113826916836126,0.00045200840801911,-6.84267804538238e-08,-5.69986074957693e-11,0.378989885927741,0,0,0,2,1362,1,28,44693.9,44693.8,0.887451,2.323,1.44775,2.30835,1.44409,2.47192,36.9794,24.1138,18,403.565,482.923,36.5859,29.3688,29.9998,29.0142,29.0137,17.6305,0,100,36.5651,331.644,30.7472,98.0252,99.556,4
7,1678121380,30,2023-03-06 10:49:40,10:49:40,5,"pas_smi23_t4_ch4","gibson",1678121372.21429,0.00649005083788505,6.49005083788506,8.42486518941336,379.864530810501,294.716771994274,26.5922000139931,34.2750550407451,0.204750080909457,3.65358603238565,0.198582477130228,0.12465270738442,321.516465,36.6364469727015,35.0512285714286,5.66441480446688,46.6147747312604,2.8547494528982,6.12413010543581,2.80966535156868,-286.211241950731,279.088404305384,17.9720523055767,332.36567966023,-31.5172430083016,6.66158831892816,8.42486518941336,359.966472459278,370.094696969697,-3.13088136197666,67.5770546745091,6.49005083788506,28.1572095441126,31.595716969697,-0.00588183549783606,113.6,23,5,1,0,46398,1999.99928571429,1681.1997,0.840600150214339,0.160758289913675,2.7,0.5,"0: Broadleaf",2,TRUE,1678121372.21429,379.864535714286,364.221607142857,31.6386964285714,28.1574571428571,379.592214285714,31.2597035714286,500.316821428571,90.1297178571428,0.0999620964285714,36.4681214285714,35.0512285714286,999.9,0,0,9997.60678571429,0,12.9089,15.6429178571429,392.275964285714,374.774321428571,3.4812375,364.221607142857,28.1574571428571,2.85158714285714,2.53782464285714,23.1857857142857,21.2711357142857,1999.99928571429,0.979996892857143,0.0200031142857143,0,2.606525,0,5613.97785714286,16705.3892857143,47.0935,48.4192857142857,47.875,46.875,47.125,1959.98928571429,40.01,0,1678121383.9,0,0,"--:--:--",1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,12.8515917073171,41.707525087108,4.41948650533725,0,3.50519585365854,-0.380120905923344,0.0375639532047524,0,0,2,"0/2",2.84377,2.71034,0.0798846,0.0766647,0.123384,0.113593,26324.8,22509,25609.3,23748.2,38328,34817.6,46325.9,42336,1.72143,1.87503,0.118591,0,33.1408,999.9,60.029,29.427,27.4538,54.4037,44.0144,1,0.13782,-2.0426,20.2176,5.23197,11.992,4.95645,3.30398,9999,999.9,9999,9999,1.86883,1.86448,1.87211,1.86295,1.86234,1.86881,1.85887,1.86538,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,0.264,0.379,0.113826916836126,0.00045200840801911,-6.84267804538238e-08,-5.69986074957693e-11,0.378989885927741,0,0,0,2,1362,1,28,44693.9,44693.9,0.848389,2.37183,1.44775,2.30957,1.44409,2.25586,37.0032,24.1225,18,403.587,482.889,36.5185,29.3732,30.0003,29.0176,29.0174,16.9723,0,100,36.5139,318.246,30.7472,98.0249,99.5576,4
8,1678121385,35,2023-03-06 10:49:45,10:49:45,5,"pas_smi23_t4_ch4","gibson",1678121377.5,0.0064534155656623,6.4534155656623,7.84138836077271,364.267217638908,283.985459043619,25.6236457723477,32.867366458451,0.203186624607717,3.65682164960308,0.197116550197363,0.12372811073982,321.515751444445,36.637168273951,35.0579296296296,5.66651632740104,46.5865638564203,2.85195387126867,6.12183779009411,2.81456245613237,-284.595626445707,276.667462719344,17.8003772474179,331.387964965499,-34.3621184564245,6.60284567605387,7.84138836077271,342.548684876033,353.724715151515,-3.28391494056452,67.5770546745091,6.4534155656623,28.1572619173593,31.5712193939394,-0.00519480519480387,113.6,23,5,1,0,46146,1999.99481481482,1681.19594444444,0.840600151555948,0.160758292502981,2.7,0.5,"0: Broadleaf",2,TRUE,1678121377.5,364.267222222222,347.021555555556,31.6080481481481,28.1574259259259,364.000740740741,31.2290555555556,500.320925925926,90.1287333333333,0.0999912592592592,36.4612888888889,35.0579296296296,999.9,0,0,10010.2059259259,0,12.8860777777778,17.2456222222222,376.157111111111,357.076,3.45061703703704,347.021555555556,28.1574259259259,2.84879333333333,2.5377937037037,23.1695666666667,21.2709407407407,1999.99481481482,0.979997,0.020003,0,2.56049259259259,0,5613.81222222222,16705.3481481482,47.1156666666667,48.4278148148148,47.875,46.875,47.125,1959.98481481481,40.01,0,1678121388.7,0,0,"--:--:--",1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,16.2412731707317,18.6171637630662,1.90966220100915,0,3.46834926829268,-0.346894076655053,0.034270193220451,0,0,2,"0/2",2.84373,2.71012,0.0770529,0.0737453,0.123312,0.113582,26405.3,22579.9,25608.8,23747.9,38330.6,34817.6,46325.2,42335.6,1.72123,1.8749,0.118986,0,33.1475,999.9,60.005,29.447,27.4799,54.3537,44.8598,1,0.138206,-2.04373,20.2178,5.23137,11.992,4.95575,3.30387,9999,999.9,9999,9999,1.86882,1.86447,1.87211,1.86295,1.86234,1.8688,1.85888,1.86537,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,0.257,0.379,0.113826916836126,0.00045200840801911,-6.84267804538238e-08,-5.69986074957693e-11,0.378989885927741,0,0,0,2,1362,1,28,44694,44694,0.820312,2.37061,1.44897,2.30957,1.44409,2.23999,37.0032,24.1138,18,403.504,482.838,36.4627,29.3782,30.0004,29.0216,29.0211,16.2477,0,100,36.4574,298.004,30.7472,98.0234,99.5568,4
9,1678121390,40,2023-03-06 10:49:50,10:49:50,5,"pas_smi23_t4_ch4","gibson",1678121382.21429,0.00640625314323338,6.40625314323338,7.01601726010981,349.766888750189,276.20670336644,24.9216880844219,31.5589056943578,0.201347905210011,3.65516870253167,0.195382849212343,0.12263549716586,321.513444,36.6376349168728,35.0642107142857,5.66848675738853,46.5741366549794,2.84970763065883,6.1186483214266,2.8187791267297,-282.515763616592,273.430590694486,17.5997990646402,330.028070142534,-35.8494055927891,6.55697801765104,7.01601726010981,326.333407165578,337.61683030303,-3.20967626667082,67.5770546745091,6.40625314323338,28.1551650703463,31.5461509090909,-0.00540398268398528,113.6,23,5,1,0,46107,1999.98035714286,1681.1838,0.840600155894388,0.160758300876169,2.7,0.5,"0: Broadleaf",2,TRUE,1678121382.21429,349.766892857143,331.658678571429,31.5832678571429,28.1566035714286,349.505892857143,31.204275,500.331928571429,90.1283821428572,0.100014853571429,36.4517785714286,35.0642107142857,999.9,0,0,10003.8635714286,0,12.8634964285714,18.1080607142857,361.174178571429,341.267714285714,3.42665785714286,331.658678571429,28.1566035714286,2.8465475,2.53770964285714,23.1565321428571,21.2704071428571,1999.98035714286,0.979997,0.020003,0,2.53719285714286,0,5613.93107142857,16705.2321428571,47.1205,48.4325714285714,47.875,46.875,47.125,1959.97035714286,40.01,0,1678121394.1,0,0,"--:--:--",1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,17.3026585365854,12.0072878048781,1.2270672045077,0,3.44624585365854,-0.317571010452958,0.0313836566116832,0,0,2,"0/2",2.84371,2.71031,0.0742059,0.0705484,0.123247,0.113584,26486.6,22657.6,25608.7,23747.8,38333,34817.3,46324.7,42335.4,1.72103,1.8747,0.118941,0,33.1541,999.9,60.005,29.447,27.4786,54.7237,43.6298,1,0.138443,-1.96914,20.2186,5.23226,11.992,4.95615,3.304,9999,999.9,9999,9999,1.86884,1.86447,1.8721,1.86295,1.86234,1.86883,1.85889,1.86539,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,0.252,0.3789,0.113826916836126,0.00045200840801911,-6.84267804538238e-08,-5.69986074957693e-11,0.378989885927741,0,0,0,2,1362,1,28,44694.1,44694.1,0.778809,2.34497,1.44775,2.30957,1.44409,2.39258,37.0032,24.1138,18,403.417,482.738,36.4034,29.3814,30.0004,29.0251,29.0248,15.5721,0,100,36.3854,284.494,30.7472,98.0225,99.5562,4
10,1678121394.5,44.5,2023-03-06 10:49:54,10:49:54,5,"pas_smi23_t4_ch4","gibson",1678121386.66071,0.00635780763577733,6.35780763577733,6.3832437341731,335.785746270988,267.485950460613,24.1345656267396,30.2970795884631,0.199501748468146,3.65290804111303,0.193640354367613,0.12153750001221,321.512475,36.6385736858632,35.0695571428571,5.67016444690563,46.5627786200172,2.84755269971231,6.1155128282833,2.82261174719333,-280.37931673778,270.366525393053,17.4130046051539,328.912688260427,-37.3124951416951,6.51270283994765,6.3832437341731,310.01731553165,322.451812121212,-3.3787505266879,67.5770546745091,6.35780763577733,28.1565798249351,31.5203812121212,-0.00516448484848843,113.6,23,5,1,0,46240,1999.97428571429,1681.1787,0.840600157716313,0.160758304392485,2.7,0.5,"0: Broadleaf",2,TRUE,1678121386.66071,335.78575,316.830785714286,31.5597285714286,28.1561714285714,335.530107142857,31.1807321428571,500.339535714286,90.1273964285714,0.100017703571429,36.442425,35.0695571428571,999.9,0,0,9995.24785714286,0,12.866925,18.9548392857143,346.728607142857,326.010071428571,3.40354785714286,316.830785714286,28.1561714285714,2.84439428571428,2.5376425,23.1440214285714,21.2699714285714,1999.97428571429,0.979997,0.020003,0,2.52567142857143,0,5614.41571428572,16705.1821428571,47.125,48.4325714285714,47.8816428571429,46.875,47.125,1959.96428571429,40.01,0,1678121398.3,0,0,"--:--:--",1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,18.3521487804878,11.2030578397213,1.14642413556069,0,3.42004780487805,-0.304486202090585,0.0300722040455476,0,0,2,"0/2",2.84374,2.71003,0.0714669,0.0677931,0.123173,0.113577,26564.2,22724.9,25608,23747.9,38335.7,34817.3,46324,42335.2,1.72127,1.87465,0.118054,0,33.1599,999.9,59.98,29.447,27.4654,54.4437,43.6859,1,0.138714,-1.94422,20.2183,5.23241,11.992,4.95595,3.30393,9999,999.9,9999,9999,1.86886,1.86448,1.87211,1.86295,1.86234,1.86885,1.85889,1.86539,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,0.246,0.379,0.113826916836126,0.00045200840801911,-6.84267804538238e-08,-5.69986074957693e-11,0.378989885927741,0,0,0,2,1362,1,28,44694.2,44694.2,0.748291,2.35229,1.44775,2.30957,1.44409,2.37427,37.0032,24.1138,18,403.577,482.734,36.3421,29.3855,30.0003,29.0286,29.0282,14.8899,0,100,36.3143,264.271,30.7472,98.0207,99.5561,4
